activity_identifier,contact_type,organisation,organisation_lang,department,department_lang,person_name,person_name_lang,person_name_present,job_title,job_title_lang,telephone,email,email_present,website,mailing_address,mailing_address_lang
XM-DAC-46007-501247,1,Banco Centroamericano de Integración Económica,es,,,,,,,,(+504)2240-2243,accesinfo@bcie.org,1,https://www.bche.org/contactenos,"Edificio Sede BCIE, Boulevard Suyapa, Tegucigalpa, Honduras",es
XM-DAC-46007-500681,1,Banco Centroamericano de Integración Económica,es,,,,,,,,(+504)2240-2243,accesinfo@bcie.org,1,https://www.bche.org/contactenos,"Edificio Sede BCIE, Boulevard Suyapa, Tegucigalpa, Honduras",es
XM-DAC-46007-501142,1,Banco Centroamericano de Integración Económica,es,,,,,,,,(+504)2240-2243,accesinfo@bcie.org,1,https://www.bche.org/contactenos,"Edificio Sede BCIE, Boulevard Suyapa, Tegucigalpa, Honduras",es
XM-DAC-46007-500701,1,Banco Centroamericano de Integración Económica,es,,,,,,,,(+504)2240-2243,accesinfo@bcie.org,1,https://www.bche.org/contactenos,"Edificio Sede BCIE, Boulevard Suyapa, Tegucigalpa, Honduras",es
XM-DAC-46007-500627,1,Banco Centroamericano de Integración Económica,es,,,,,,,,(+504)2240-2243,accesinfo@bcie.org,1,https://www.bche.org/contactenos,"Edificio Sede BCIE, Boulevard Suyapa, Tegucigalpa, Honduras",es
XM-DAC-46007-500248,1,Banco Centroamericano de Integración Económica,es,,,,,,,,(+504)2240-2243,accesinfo@bcie.org,1,https://www.bche.org/contactenos,"Edificio Sede BCIE, Boulevard Suyapa, Tegucigalpa, Honduras",es
XM-DAC-46007-302441,1,Banco Centroamericano de Integración Económica,es,,,,,,,,(+504)2240-2243,accesinfo@bcie.org,1,https://www.bche.org/contactenos,"Edificio Sede BCIE, Boulevard Suyapa, Tegucigalpa, Honduras",es
XM-DAC-46007-501149,1,Banco Centroamericano de Integración Económica,es,,,,,,,,(+504)2240-2243,accesinfo@bcie.org,1,https://www.bche.org/contactenos,"Edificio Sede BCIE, Boulevard Suyapa, Tegucigalpa, Honduras",es
XM-DAC-46007-501140,1,Banco Centroamericano de Integración Económica,es,,,,,,,,(+504)2240-2243,accesinfo@bcie.org,1,https://www.bche.org/contactenos,"Edificio Sede BCIE, Boulevard Suyapa, Tegucigalpa, Honduras",es
XM-DAC-46007-500426,1,Banco Centroamericano de Integración Económica,es,,,,,,,,(+504)2240-2243,accesinfo@bcie.org,1,https://www.bche.org/contactenos,"Edificio Sede BCIE, Boulevard Suyapa, Tegucigalpa, Honduras",es
