activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
XM-DAC-46007-500338,result_3,result_3_1,1,1,,Víal,Longitud de carretera nueva,"Número de kilómetros de carretera construidos en el proyecto, que corresponde a la superficie preparada para el   tránsito de vehículos motorizados, de por lo  menos dos ejes, con  características geométricas definidas de acuerdo a las normas técnicas vigentes.",2018,,0
XM-DAC-46007-500646,result_2,result_2_26,1,1,,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2021,,0
XM-DAC-46007-500901,result_2,result_2_8,1,1,,Educación,Aulas construidas y rehabilitadas,Cantidad de aulas construidas y rehabilitadas en el proyecto. ,2022,,0
XM-DAC-46007-500818,result_1,result_1_27,2,1,,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2022,,0
XM-DAC-46007-302457,result_2,result_2_14,1,1,,Salud,"Inversión en salud (equipo, tecnología)","Monto de los recursos del proyecto  para la obtención de productos tecnológicos y equipos que aportan al desarrollo del sector salud, incluyendo equipo médico, equipo no médico (como muebles y equipos de oficina), entre otros.",2014,,0
XM-DAC-46007-500636,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2022,,0
XM-DAC-46007-500930,result_3,result_3_3,1,1,,Energía,Potencia,"Cantidad de energía producida por el proyecto o programa por unidad de tiempo; es decir, lo máximo que pueden desarrollar el proyecto en un momento dado en vatios de electricidad (El Mega Watts o Mega Vatio equivale a 1 millón de Vatios  = 1 millón de julio por segundo).",2023,,0
XM-DAC-46007-501247,result_2,result_2_16,1,1,,Turismo,Camas de hotel,Cantidad de camas brindadas para el hotel enmarcado en el proyecto.,2025,,0
XM-DAC-46007-500645,result_7,result_7_2,1,1,,Víal,Longitud de carretera rehabilitada,Número de kilómetros rehabilitados en el proyecto. Este indicador solo se utiliza en la mejora de una carretera existente.,2020,,0
XM-DAC-46007-500901,result_5,result_5_19,1,1,,Registro Nacional,"Número de registros (identificación personal, documentos de identidad, títulos, digitalización)","Cantidad de títulos de propiedad otorgados, personas registradas y/o documentos digitalizados como parte del alcance del proyecto.",2022,,0
