activity_identifier,result_ref,result_type,aggregation_status,title,description
XM-DAC-46007-301839,result_1,1,1,Víal,
XM-DAC-46007-302270,result_1,1,1,"Agronegocios, Desarrollo Rural ",
XM-DAC-46007-302270,result_2,1,1,Efectos,
XM-DAC-46007-302302,result_1,1,1,Efectos,
XM-DAC-46007-302411,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-302411,result_2,1,1,Efectos,
XM-DAC-46007-302441,result_1,1,1,Efectos,
XM-DAC-46007-302441,result_2,1,1,Salud,
XM-DAC-46007-302457,result_1,1,1,Efectos,
XM-DAC-46007-302457,result_2,1,1,Salud,
XM-DAC-46007-302457,result_3,1,1,Seguridad,
XM-DAC-46007-500022,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-500022,result_2,1,1,Efectos,
XM-DAC-46007-500035,result_1,1,1,Efectos,
XM-DAC-46007-500179,result_1,1,1,Efectos,
XM-DAC-46007-500179,result_2,1,1,Víal,
XM-DAC-46007-500189,result_1,1,1,Efectos,
XM-DAC-46007-500192,result_1,1,1,Efectos,
XM-DAC-46007-500192,result_2,1,1,Salud,
XM-DAC-46007-500208,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-500208,result_2,1,1,Efectos,
XM-DAC-46007-500213,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-500213,result_2,1,1,Efectos,
XM-DAC-46007-500218,result_1,1,1,Efectos,
XM-DAC-46007-500240,result_1,1,1,Efectos,
XM-DAC-46007-500240,result_2,1,1,Víal,
XM-DAC-46007-500248,result_1,1,1,Efectos,
XM-DAC-46007-500248,result_2,1,1,Energía,
XM-DAC-46007-500267,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-500267,result_2,1,1,Efectos,
XM-DAC-46007-500270,result_1,1,1,Efectos,
XM-DAC-46007-500270,result_2,1,1,Salud,
XM-DAC-46007-500271,result_1,1,1,Efectos,
XM-DAC-46007-500271,result_2,1,1,Salud,
XM-DAC-46007-500276,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-500276,result_2,1,1,Efectos,
XM-DAC-46007-500316,result_1,1,1,Efectos,
XM-DAC-46007-500316,result_2,1,1,Víal,
XM-DAC-46007-500338,result_1,1,1,"Agronegocios, Desarrollo Rural ",
XM-DAC-46007-500338,result_2,1,1,Efectos,
XM-DAC-46007-500338,result_3,1,1,Víal,
XM-DAC-46007-500346,result_1,1,1,Efectos,
XM-DAC-46007-500349,result_1,1,1,Efectos,
XM-DAC-46007-500357,result_1,1,1,Efectos,
XM-DAC-46007-500357,result_2,1,1,Víal,
XM-DAC-46007-500422,result_1,1,1,Efectos,
XM-DAC-46007-500422,result_2,1,1,Víal,
XM-DAC-46007-500426,result_1,1,1,Educación,
XM-DAC-46007-500426,result_2,1,1,Efectos,
XM-DAC-46007-500429,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-500429,result_2,1,1,Efectos,
XM-DAC-46007-500436,result_1,1,1,Efectos,
