activity_identifier,title,title_lang,description,description_lang,activity_status,activity_scope,default_currency,humanitarian,hierarchy,last_updated_datetime,xml_lang,reporting_org_ref,reporting_org_name,reporting_org_name_lang,reporting_org_type,reporting_org_secondary_reporter,planned_start_date,actual_start_date,planned_end_date,actual_end_date,recipient_country_code,recipient_country_percentage,recipient_country_name,recipient_country_lang,recipient_region_code,recipient_region_percentage,recipient_region_name,recipient_region_lang,collaboration_type,default_flow_type,default_finance_type,default_aid_type,default_tied_status,conditions_attached
XM-DAC-46008-cfa012402,Programa de Fortalecimiento de la Soberanía de conectividad de El Salvador: Cable Submarino,,"Reducir los costos de Internet< una vez que los menores costos de tránsito internacional de datos implican en menores costos de servicios de Internet y mayor accesibilidad para consumidores y empresas, incrementando igualmente la demanda interna. Contribuir a la aceleración del sector de Tecnología de Información y Comunicación (TIC) en El Salvador< una vez que la mejor conectividad y la reducción de costos de acceso a internet, fomentará el crecimiento del sector, atrayendo a las empresas tecnológicas y estimulando la innovación.  Mejorar la seguridad y la resiliencia de la conectividad digital internacional de El Salvador< mediante un enlace dedicado e independiente de la interconexión terrestre con países vecinos. Atraer inversiones en materia de economía digital< promoviendo la instalación de empresas de base tecnológica y proveedores de contenidos que requieren alta capacidad de ancho de banda internacional. Mejora en la calidad del servicio< un mayor ancho de banda y conexiones más confiables, mejorarán los servicios digitales.",,2,,USD,,,2025-10-09T22:23:57.523Z,es,XM-DAC-46008,CAF Development bank of Latin America and the Caribbean,,40,0,,,,,SV,,,,,,,,,,421,,,
XM-DAC-46008-cfa012672,Proyecto de Mejoramiento del Servicio de Transporte Urbano de Pasajeros de Trujillo,,"El Proyecto abarca la construcción del Corredor Troncal Norte-Sur de transporte urbano en la ciudad de Trujillo para la explotación de una línea de un Corredor Troncal Norte – Sur de 11,18 km de longitud, con 16 estaciones en superficie, 2 terminales y patios en los externos, así como, la implementación de rutas alimentadora al norte y al sur. Ambos sistemas (Corredor Troncal y sus rutas alimentadoras) deben estar vinculados entre sí en términos de tarifas e infraestructura.  ",,2,,USD,,,2025-10-09T22:23:57.523Z,es,XM-DAC-46008,CAF Development bank of Latin America and the Caribbean,,40,0,,,,,PE,,,,,,,,,,421,,,
XM-DAC-46008-cfa008422,"Construcción de la Carretera Porvenir - El Choro, Tramo I: Porvenir - Puerto Rico",,"El Proyecto consiste en la construcción y pavimentación del tramo carretero Porvenir – Puerto Rico, de 133,26 km de extensión, que forma parte de la Red Vial Fundamental F-13 y es el primer tramo de la carretera que une a la ciudad de Cobija, capital del Departamento de Pando, con El Chorro, en una extensión de aproximadamente 320 km. ",,2,,USD,,,2025-10-09T22:23:57.523Z,es,XM-DAC-46008,CAF Development bank of Latin America and the Caribbean,,40,0,,,,,BO,,,,,,,,,,421,,,
XM-DAC-46008-cfa007671,Proyecto de Rehabilitación Unidades 1 a 6 de Guri,,"Extención de la vida útil, mejorar la eficiencia y aumentar la disponibilidad de la Central Hidroeléctrica Simón Bolívar (Guri) mediante la rehabilitación de las unidades de generación 1 a 6 (de la Casa de Máquinas 1) ",,2,,USD,,,2025-10-09T22:23:57.523Z,es,XM-DAC-46008,CAF Development bank of Latin America and the Caribbean,,40,0,,,,,VE,,,,,,,,,,421,,,
XM-DAC-46008-cfa010505,Programa Ambiental y de Optimización Vial,,"El Programa consiste en un conjunto de obras tendientes a adecuar la solución de movilidad de la ciudad al crecimiento demográfico e industrial que ha evidenciado en los últimos años y, al mismo tiempo, adecuarlo para los próximos 20 años. Las 16 obras del Programa han sido priorizadas en el marco del Plan Director de Transporte Urbano y Movilidad (PDTUM) de la ciudad. Entre estas se destacan 3 intervenciones complementarias a la implantación de un sistema de BRT que el Municipio ha encarado en el presente año. Asimismo, el Programa incluye otras intervenciones que darán solución a los puntos críticos más urgentes de la ciudad.  Las intervenciones incluyen la construcción y readecuación de vías y obras de arte (puentes y viaductos), así como también la puesta en valor del Parque de Itanguá, entre otras.  ",,2,,USD,,,2025-10-09T22:23:57.523Z,es,XM-DAC-46008,CAF Development bank of Latin America and the Caribbean,,40,0,,,,,BR,,,,,,,,,,421,,,
XM-DAC-46008-cfa012670,Programa de Infraestructura Vial para la Competitividad Regional PROREGION II,,"La segunda fase del Programa PROREGIóN comprende el mejoramiento a nivel de soluciones básicas de 4.162 km y la conservación por niveles de servicio de 6.929 km de carreteras regionales distribuidos en quince corredores viales en 12 regiones, 57 provincias, 259 distritos y una población total beneficiaria de 3,6 millones de personas, al año 2023.  El financiamiento de CAF está destinado a financiar, parcialmente, nueve de los quince corredores, distribuidos a lo largo del país. ",,2,,USD,,,2025-10-09T22:23:57.523Z,es,XM-DAC-46008,CAF Development bank of Latin America and the Caribbean,,40,0,,,,,PE,,,,,,,,,,421,,,
XM-DAC-46008-cfa011196,Línea emergencia COVID-19,,"Los recursos del Préstamo estarán destinados a financiar los siguientes rubros relacionados con la atención y/o prevención de la emergencia sanitaria ocasionada por el COVID-19 (la” Emergencia”) : (i) gastos e inversiones consignados en el presupuesto general del Estado, de conformidad con las acciones priorizadas por el MEF – MSP para atender la emergencia sanitaria COVID 19 en Ecuador< (ii) Impuestos  asociados a los gastos previstos en el literal (i) anterior< (iii)Auditoría Externa, y (iv) la Comisión de Financiamiento del Préstamo.",,2,,USD,,,2025-10-09T22:23:57.523Z,es,XM-DAC-46008,CAF Development bank of Latin America and the Caribbean,,40,0,,,,,EC,,,,,,,,,,421,,,
XM-DAC-46008-cfa012714,Programa de Apoyo a la Política Nacional Forestal en Panamá,,"La operación está estructurada en tres componentes clave, que buscan fortalecer la política forestal y consolidar la inversión en el sector: i) Fortalecimiento de la gobernanza y regulación forestal< ii) Estrategias de financiamiento verde< y iii) Gestión sostenible de los recursos forestales",,4,,USD,,,2025-10-09T22:23:57.523Z,es,XM-DAC-46008,CAF Development bank of Latin America and the Caribbean,,40,0,,,,,PA,,,,,,,,,,421,,,
XM-DAC-46008-cfa012067,Proyecto Nuevo Modelo Arquitectónico de Infraestructura Educativa,,"""De forma específica, el Programa busca en tres (3) años:   (i)\tadecuar y/o ampliar 124 de las 1.000 Instituciones Educativas (IE) priorizadas dentro del Programa de Reapertura Educativa en instituciones ubicadas en comunidades rurales y urbano marginales<  (ii)\trehabilitar y/o reconstruir 5 de las 31 IE incluidas dentro del Plan de Contingencia ejecutado en las provincias de Manabí y Santo Domingo de los Tsáchilas para intervenir instituciones pertenecientes al Proyecto “Siglo XXI”< y  (iii)\tfortalecer y mejorar la calidad de la educación mediante la dotación de mobiliario y equipos escolares. """,,2,,USD,,,2025-10-09T22:23:57.523Z,es,XM-DAC-46008,CAF Development bank of Latin America and the Caribbean,,40,0,,,,,EC,,,,,,,,,,421,,,
XM-DAC-46008-cfa012418,Programa de Caminos para el Desarrollo Productivo de la Provincia de Entre Ríos,,"""En el Programa se prevé la ejecución de 3 proyectos por aproximadamente 84 km (reconstrucción de vía Viale-Arroyo """"Durazno"""" (RP 34,33,43,31), Rafael-Puiggari y reconstrucción de calzada - calle urquiza, y Acceso San Rafael) que incluyen obras básicas viales para mejorar características técnicas del camino existente, previendo en algunos casos la regularización del ancho de la calzada y la reconstrucción de banquinas para homologar los estándares de servicio del corredor, rehabilitación y ensache de puentes, adecuación de terraplenes y alcantarillas a las condiciones hidrológicas críticas. """,,2,,USD,,,2025-10-09T22:23:57.523Z,es,XM-DAC-46008,CAF Development bank of Latin America and the Caribbean,,40,0,,,,,AR,,,,,,,,,,421,,,
