activity_identifier,type,iso_date,narrative,narrative_lang
XM-DAC-46008-cfa012402,2,2024-10-07,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012672,2,2025-07-18,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa008422,2,2013-12-16,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa007671,2,2011-12-28,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa010505,2,2018-10-09,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012670,2,2025-07-18,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011196,2,2020-04-17,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012714,2,2025-09-08,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012067,2,2023-07-28,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012418,2,2024-10-28,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011999,2,2023-05-09,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011694,2,2022-03-17,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa008548,2,2014-04-16,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa010973,2,2019-10-23,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa009545,2,2016-09-14,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011872,2,2022-11-29,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfl0000003441,2,2022-04-19,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa008729,2,2014-10-31,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012503,2,2024-12-19,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012641,2,2025-06-02,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfl0000003624,2,2023-01-31,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa007902,2,2012-08-24,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa010613,2,2018-12-13,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012422,2,2024-10-28,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011318,2,2020-10-08,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012320,2,2024-07-08,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfl0000003735,2,2023-12-06,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012119,2,2023-09-15,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012677,2,2025-08-07,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa010852,2,2019-07-24,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012400,2,2024-10-07,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfl0000003619,2,2022-12-02,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa010824,2,2019-06-14,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011807,2,2022-09-02,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011177,2,2020-03-30,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa012116,2,2023-09-05,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfl0000003792,2,2024-01-22,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa010180,2,2023-11-08,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa010689,2,2019-02-19,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa008680,2,2014-07-25,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011744,2,2022-06-24,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa010784,2,2019-05-14,Fecha de entrada en vigencia de la operación,
XM-DAC-46008-cfa011411,2,2021-01-27,Fecha de entrada en vigencia de la operación,
