activity_identifier,contact_type,organisation,department,person_name,job_title,telephone,email,website,mailing_address
XM-DAC-46008-cfa012402,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012672,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008422,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa007671,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010505,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012670,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011196,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012714,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012067,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012418,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011999,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011694,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
