activity_identifier,description_type,description_sequence,narrative,narrative_lang,narrative_sequence
XM-DAC-46008-cfa012402,2,1,"Apoyar a la República de El Salvador en el despliegue de su primer cable submarino orientado a mejorar la infraestructura digital nacional y reducir los costos de conectividad internacional, al tiempo que aumenta las capacidades de ancho de banda internacional. ",,1
XM-DAC-46008-cfa012402,1,2,"Reducir los costos de Internet< una vez que los menores costos de tránsito internacional de datos implican en menores costos de servicios de Internet y mayor accesibilidad para consumidores y empresas, incrementando igualmente la demanda interna. Contribuir a la aceleración del sector de Tecnología de Información y Comunicación (TIC) en El Salvador< una vez que la mejor conectividad y la reducción de costos de acceso a internet, fomentará el crecimiento del sector, atrayendo a las empresas tecnológicas y estimulando la innovación.  Mejorar la seguridad y la resiliencia de la conectividad digital internacional de El Salvador< mediante un enlace dedicado e independiente de la interconexión terrestre con países vecinos. Atraer inversiones en materia de economía digital< promoviendo la instalación de empresas de base tecnológica y proveedores de contenidos que requieren alta capacidad de ancho de banda internacional. Mejora en la calidad del servicio< un mayor ancho de banda y conexiones más confiables, mejorarán los servicios digitales.",,1
XM-DAC-46008-cfa012672,2,1,"El diseño, construcción y puesta en servicio de un sistema de transporte urbano seguro, económico, rápido y ecológicamente sustentable que sirva como eje estructurante del sistema de movilidad urbana de la ciudad de Trujillo y que tiene un impacto directo en la mejora de la calidad de vida y aumento de la productividad local.",,1
XM-DAC-46008-cfa012672,1,2,"El Proyecto abarca la construcción del Corredor Troncal Norte-Sur de transporte urbano en la ciudad de Trujillo para la explotación de una línea de un Corredor Troncal Norte – Sur de 11,18 km de longitud, con 16 estaciones en superficie, 2 terminales y patios en los externos, así como, la implementación de rutas alimentadora al norte y al sur. Ambos sistemas (Corredor Troncal y sus rutas alimentadoras) deben estar vinculados entre sí en términos de tarifas e infraestructura.  ",,1
XM-DAC-46008-cfa008422,2,1,"El objetivo general del Proyecto es mejorar la transitabilidad del tramo carretero Porvenir – Puerto Rico a través de la ejecución de obras de mejoramiento y pavimentación de la carretera, contribuyendo así al desarrollo económico y social del Departamento de Pando. El tramo Porvenir – Puerto Rico, forma parte de la carretera Porvenir – El Chorro que a su vez viabiliza la conectividad del corredor bioceánico Oeste – Norte que vincula a Bolivia con Brasil y Perú.",,1
XM-DAC-46008-cfa008422,1,2,"El Proyecto consiste en la construcción y pavimentación del tramo carretero Porvenir – Puerto Rico, de 133,26 km de extensión, que forma parte de la Red Vial Fundamental F-13 y es el primer tramo de la carretera que une a la ciudad de Cobija, capital del Departamento de Pando, con El Chorro, en una extensión de aproximadamente 320 km. ",,1
XM-DAC-46008-cfa007671,2,1,"El objeto del Proyecto es optimizar la generación del aprovechamiento hidrológico del Bajo Caroní, complejo eléctrico integrado por 4 centrales, que abastecen aproximadamente el 70% de la energía consumida en el país. La ejecución de este Proyecto permitirá mejorar la sostenibilidad, confiabilidad y seguridad del abastecimiento de energía del sistema eléctrico nacional mediante la preservación de una fuente de energía renovable y limpia de gran magnitud como lo es la cuenca hidrográfica del Bajo Caroní. ",,1
XM-DAC-46008-cfa007671,1,2,"Extención de la vida útil, mejorar la eficiencia y aumentar la disponibilidad de la Central Hidroeléctrica Simón Bolívar (Guri) mediante la rehabilitación de las unidades de generación 1 a 6 (de la Casa de Máquinas 1) ",,1
XM-DAC-46008-cfa010505,2,1,"El objetivo general del Programa es contribuir a la calidad de vida de los habitantes de Sorocaba a partir de la profundización de la infraestructura urbana de la ciudad, dando así continuidad a la política estratégica de ampliación y revitalización de la red vial de la ciudad, de optimización del sistema de transporte colectivo de pasajeros y de puesta a disposición de los habitantes de espacios propicios para el esparcimiento, la cultura, la preservación medioambiental y el ejercicio de hábitos de vida saludables.",,1
XM-DAC-46008-cfa010505,1,2,"El Programa consiste en un conjunto de obras tendientes a adecuar la solución de movilidad de la ciudad al crecimiento demográfico e industrial que ha evidenciado en los últimos años y, al mismo tiempo, adecuarlo para los próximos 20 años. Las 16 obras del Programa han sido priorizadas en el marco del Plan Director de Transporte Urbano y Movilidad (PDTUM) de la ciudad. Entre estas se destacan 3 intervenciones complementarias a la implantación de un sistema de BRT que el Municipio ha encarado en el presente año. Asimismo, el Programa incluye otras intervenciones que darán solución a los puntos críticos más urgentes de la ciudad.  Las intervenciones incluyen la construcción y readecuación de vías y obras de arte (puentes y viaductos), así como también la puesta en valor del Parque de Itanguá, entre otras.  ",,1
