activity_identifier,url,format,title,title_lang,description,description_lang,category_code,language_code,document_date
XM-DAC-46008-cfa012402,https://www.caf.com/es/proyectos/cfa012402-programa-de-fortalecimiento-de-la-soberania-de-conectividad-de-el-salvador-cable-submarino,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012672,https://www.caf.com/es/proyectos/cfa012672-proyecto-de-mejoramiento-del-servicio-de-transporte-urbano-de-pasajeros-de-trujillo,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa008422,https://www.caf.com/es/proyectos/cfa008422-construccion-de-la-carretera-porvenir-el-choro-tramo-i-porvenir-puerto-rico,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa007671,https://www.caf.com/es/proyectos/cfa007671-proyecto-de-rehabilitacion-unidades-1-a-6-de-guri,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010505,https://www.caf.com/es/proyectos/cfa010505-programa-ambiental-y-de-optimizacion-vial,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012670,https://www.caf.com/es/proyectos/cfa012670-programa-de-infraestructura-vial-para-la-competitividad-regional-proregion-ii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011196,https://www.caf.com/es/proyectos/cfa011196-linea-emergencia-covid-19,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012714,https://www.caf.com/es/proyectos/cfa012714-programa-de-apoyo-a-la-politica-nacional-forestal-en-panama,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012067,https://www.caf.com/es/proyectos/cfa012067-proyecto-nuevo-modelo-arquitectonico-de-infraestructura-educativa,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012418,https://www.caf.com/es/proyectos/cfa012418-programa-de-caminos-para-el-desarrollo-productivo-de-la-provincia-de-entre-rios,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011999,https://www.caf.com/es/proyectos/cfa011999-promulpre-ii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011694,https://www.caf.com/es/proyectos/cfa011694-construccion-carretera-unduavi-chulumani-tramo-2b-km-7-santa-rosa-puente-villa,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa008548,https://www.caf.com/es/proyectos/cfa008548-programa-de-ampliacion-y-modernizacion-de-la-infraestructura-educativa-pamie,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010973,https://www.caf.com/es/proyectos/cfa010973-sistema-integrado-de-movilidad-de-contagem,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa009545,https://www.caf.com/es/proyectos/cfa009545-proyecto-de-construccion-de-la-doble-via-caracollo-colomi-tramo-2b-confital-bombeo,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011872,https://www.caf.com/es/proyectos/cfa011872-programa-de-saneamiento-en-localidades-litoraneas-de-ceara,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003441,https://www.caf.com/es/proyectos/cfl0000003441-banco-de-occidente,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa008729,https://www.caf.com/es/proyectos/cfa008729-programa-de-mejoramiento-de-corredores-de-integracion-y-reconstruccion-vial,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012503,https://www.caf.com/es/proyectos/cfa012503-programa-de-inovacao-social-para-transformacao-territorial-de-porto-alegre,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012641,https://www.caf.com/es/proyectos/cfa012641-programa-de-rehabilitacion-de-redes-de-distribucion-electrica-y-reduccion-de-perdidas,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003624,https://www.caf.com/es/proyectos/cfl0000003624-banco-del-estado-de-chile,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa007902,https://www.caf.com/es/proyectos/cfa007902-programa-de-rehabilitacion-y-optimizacion-de-las-plantas-mayores-de-potabilizacion-de-agua-en-la-republica-bolivariana-de-venezuela,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010613,https://www.caf.com/es/proyectos/cfa010613-proyecto-de-mejoramiento-del-sistema-de-transmision-y-de-distribucion-de-electricidad-del-sistema-metropolitano-de-paraguay-fase-ii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012422,https://www.caf.com/es/proyectos/cfa012422-programa-de-mejora-del-acceso-y-la-calidad-educativa-promace-etapa-ii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011318,https://www.caf.com/es/proyectos/cfa011318-programa-de-macrodrenaje-y-control-de-inundaciones-del-rio-baquirivu-guacu-en-guarulhos,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012320,https://www.caf.com/es/proyectos/cfa012320-proyecto-de-construccion-camino-norte-integrado-yapacani,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003735,https://www.caf.com/es/proyectos/cfl0000003735-fondo-financiero-para-el-desarrollo-de-la-cuenca-del-plata-fonplata,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012119,https://www.caf.com/es/proyectos/cfa012119-proyecto-de-reforzamiento-de-redes-de-distribucion-electrica-para-el-sector-acuicola,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012677,https://www.caf.com/es/proyectos/cfa012677-programa-de-transicion-para-la-transformacion-productiva-y-sostenible-del-agro-ecuatoriano,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010852,https://www.caf.com/es/proyectos/cfa010852-programa-de-fortalecimiento-de-transmision-del-sin-y-de-distribucion-electrica-rural,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012400,https://www.caf.com/es/proyectos/cfa012400-programa-desarrollo-del-sector-aeronautico-de-el-salvador-el-salvador-vuela,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003619,https://www.caf.com/es/proyectos/cfl0000003619-banco-improsa-sa,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010824,https://www.caf.com/es/proyectos/cfa010824-programa-de-integracion-y-desarrollo-urbano-social-y-ambiental-del-municipio-de-camacari,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011807,https://www.caf.com/es/proyectos/cfa011807-proyecto-construccion-carretera-escoma-charazani-tramo-i-escoma-pacobamba,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011177,https://www.caf.com/es/proyectos/cfa011177-prog-de-intervencion-en-villas-de-buenos-aires,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012116,https://www.caf.com/es/proyectos/cfa012116-programa-de-conectividad-urbana-cruces-ferroviarios-a-distinto-nivel-en-la-region-metropolitana-de-buenos-aires,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003792,https://www.caf.com/es/proyectos/cfl0000003792-agencia-financiera-de-desarrollo,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010180,https://www.caf.com/es/proyectos/cfa010180-belgrano-sur-i,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010689,https://www.caf.com/es/proyectos/cfa010689-programa-municipios-sostenibles,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa008680,https://www.caf.com/es/proyectos/cfa008680-programa-sistema-de-macrodrenaje-del-rio-baquirivu-guacu-y-presas-duas-pontes-y-pedreira,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011744,https://www.caf.com/es/proyectos/cfa011744-programa-de-corredores-logisticos-de-integracion,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010784,https://www.caf.com/es/proyectos/cfa010784-programa-de-renovacion-de-la-facultad-de-ciencias-naturales-exactas-y-tecnologia-de-la-universidad-de-panama,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011411,https://www.caf.com/es/proyectos/cfa011411-programa-de-conectividad-vial-e-infraestructura-productiva-para-la-provincia-de-buenos-aires,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010938,https://www.caf.com/es/proyectos/cfa010938-proyecto-metro-de-sao-paulo-linea-17-oro-tramo-1,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa008550,https://www.caf.com/es/proyectos/cfa008550-amerigo-ventures,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa008700,https://www.caf.com/es/proyectos/cfa008700-proyecto-sabiamar,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012279,https://www.caf.com/es/proyectos/cfa012279-programa-de-apoyo-a-la-movilidad-urbana-baja-en-emisiones,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa008313,https://www.caf.com/es/proyectos/cfa008313-latin-renewables-infrastructure-fund-lp,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003476,https://www.caf.com/es/proyectos/cfl0000003476-banco-bolivariano,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012339,https://www.caf.com/es/proyectos/cfa012339-programa-de-conectividad-vial-para-el-desarrollo-productivo-de-la-zona-centro-sur-de-la-provincia-de-manabi,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012700,https://www.caf.com/es/proyectos/cfa012700-proyecto-de-modernizacion-del-sistema-educativo-de-el-salvador,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
