activity_identifier,result_ref,indicator_ref,period_start,period_end,target_value,target_comment,actual_value,actual_comment
XM-DAC-46008-cfa012402,result_1,indicator_XM-DAC-46008-cfa012402_result_1_1,2024-10-07,2024-10-07,1800,,,
XM-DAC-46008-cfa012402,result_2,indicator_XM-DAC-46008-cfa012402_result_2_1,2024-10-07,2024-10-07,100,,,
XM-DAC-46008-cfa012402,result_3,indicator_XM-DAC-46008-cfa012402_result_3_1,2024-10-07,2024-10-07,6336000,,,
XM-DAC-46008-cfa012067,result_1,indicator_XM-DAC-46008-cfa012067_result_1_1,2023-07-28,2023-07-28,10000,,,
XM-DAC-46008-cfa012067,result_2,indicator_XM-DAC-46008-cfa012067_result_2_1,2023-07-28,2023-07-28,9461,,,
XM-DAC-46008-cfa012418,result_1,indicator_XM-DAC-46008-cfa012418_result_1_1,2024-10-28,2024-10-28,93440,,,
XM-DAC-46008-cfa012418,result_2,indicator_XM-DAC-46008-cfa012418_result_2_1,2024-10-28,2024-10-28,83,,,
XM-DAC-46008-cfa012418,result_3,indicator_XM-DAC-46008-cfa012418_result_3_1,2024-10-28,2024-10-28,2040000,,,
XM-DAC-46008-cfa012418,result_4,indicator_XM-DAC-46008-cfa012418_result_4_1,2024-10-28,2024-10-28,46,,,
XM-DAC-46008-cfa010973,result_1,indicator_XM-DAC-46008-cfa010973_result_1_1,2019-10-23,2019-10-23,74924,,,
XM-DAC-46008-cfa010973,result_2,indicator_XM-DAC-46008-cfa010973_result_2_1,2019-10-23,2019-10-23,1221,,,
XM-DAC-46008-cfa010973,result_3,indicator_XM-DAC-46008-cfa010973_result_3_1,2019-10-23,2019-10-23,659000,,,
XM-DAC-46008-cfa010973,result_4,indicator_XM-DAC-46008-cfa010973_result_4_1,2019-10-23,2019-10-23,69,,,
XM-DAC-46008-cfa010973,result_5,indicator_XM-DAC-46008-cfa010973_result_5_1,2019-10-23,2019-10-23,15,,,
XM-DAC-46008-cfa011872,result_1,indicator_XM-DAC-46008-cfa011872_result_1_1,2022-11-29,2022-11-29,9,,,
