activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
XM-DAC-46008-cfa012402,result_1,indicator_XM-DAC-46008-cfa012402_result_1_1,1,,,km,,1900,2024-10-07,0,
XM-DAC-46008-cfa012402,result_2,indicator_XM-DAC-46008-cfa012402_result_2_1,1,,,#,,1900,2024-10-07,0,
XM-DAC-46008-cfa012402,result_3,indicator_XM-DAC-46008-cfa012402_result_3_1,1,,,#,,1900,2024-10-07,0,
XM-DAC-46008-cfa012067,result_1,indicator_XM-DAC-46008-cfa012067_result_1_1,1,,,m2,,1900,2023-07-28,0,
XM-DAC-46008-cfa012067,result_2,indicator_XM-DAC-46008-cfa012067_result_2_1,1,,,#,,1900,2023-07-28,0,
XM-DAC-46008-cfa012418,result_1,indicator_XM-DAC-46008-cfa012418_result_1_1,1,,,# de vehículos/año,,1900,2024-10-28,0,
XM-DAC-46008-cfa012418,result_2,indicator_XM-DAC-46008-cfa012418_result_2_1,1,,,Km,,1900,2024-10-28,0,
XM-DAC-46008-cfa012418,result_3,indicator_XM-DAC-46008-cfa012418_result_3_1,1,,,USD,,1900,2024-10-28,0,
XM-DAC-46008-cfa012418,result_4,indicator_XM-DAC-46008-cfa012418_result_4_1,1,,,minutos,,1900,2024-10-28,0,
XM-DAC-46008-cfa010973,result_1,indicator_XM-DAC-46008-cfa010973_result_1_1,1,,,#,,1900,2019-10-23,0,
XM-DAC-46008-cfa010973,result_2,indicator_XM-DAC-46008-cfa010973_result_2_1,1,,,#/año,,1900,2019-10-23,0,
XM-DAC-46008-cfa010973,result_3,indicator_XM-DAC-46008-cfa010973_result_3_1,1,,,#,,1900,2019-10-23,0,
XM-DAC-46008-cfa010973,result_4,indicator_XM-DAC-46008-cfa010973_result_4_1,1,,,minutos,,1900,2019-10-23,0,
XM-DAC-46008-cfa010973,result_5,indicator_XM-DAC-46008-cfa010973_result_5_1,1,,,Km,,1900,2019-10-23,0,
XM-DAC-46008-cfa011872,result_1,indicator_XM-DAC-46008-cfa011872_result_1_1,1,,,#,,1900,2022-11-29,0,
XM-DAC-46008-cfa011872,result_2,indicator_XM-DAC-46008-cfa011872_result_2_1,1,,,#,,1900,2022-11-29,0,
XM-DAC-46008-cfa011872,result_3,indicator_XM-DAC-46008-cfa011872_result_3_1,1,,,#,,1900,2022-11-29,0,
XM-DAC-46008-cfa011872,result_4,indicator_XM-DAC-46008-cfa011872_result_4_1,1,,,#,,1900,2022-11-29,0,
XM-DAC-46008-cfa011872,result_5,indicator_XM-DAC-46008-cfa011872_result_5_1,1,,,#,,1900,2022-11-29,0,
XM-DAC-46008-cfa011872,result_6,indicator_XM-DAC-46008-cfa011872_result_6_1,1,,,km,,1900,2022-11-29,0,
XM-DAC-46008-cfa011872,result_7,indicator_XM-DAC-46008-cfa011872_result_7_1,1,,,#,,1900,2022-11-29,0,
XM-DAC-46008-cfa011872,result_8,indicator_XM-DAC-46008-cfa011872_result_8_1,1,,,km,,1900,2022-11-29,0,
XM-DAC-46008-cfl0000003441,result_1,indicator_XM-DAC-46008-cfl0000003441_result_1_1,1,,,#,,1900,2022-04-19,0,
XM-DAC-46008-cfl0000003441,result_2,indicator_XM-DAC-46008-cfl0000003441_result_2_1,1,,,#,,1900,2022-04-19,0,
XM-DAC-46008-cfa012503,result_1,indicator_XM-DAC-46008-cfa012503_result_1_1,1,,,km,,1900,2024-12-19,0,
XM-DAC-46008-cfa012503,result_2,indicator_XM-DAC-46008-cfa012503_result_2_1,1,,,#,,1900,2024-12-19,0,
XM-DAC-46008-cfa012503,result_3,indicator_XM-DAC-46008-cfa012503_result_3_1,1,,,#,,1900,2024-12-19,0,
XM-DAC-46008-cfa012503,result_4,indicator_XM-DAC-46008-cfa012503_result_4_1,1,,,#,,1900,2024-12-19,0,
XM-DAC-46008-cfa012503,result_5,indicator_XM-DAC-46008-cfa012503_result_5_1,1,,,m2,,1900,2024-12-19,0,
XM-DAC-46008-cfa012422,result_1,indicator_XM-DAC-46008-cfa012422_result_1_1,1,,,#,,1900,2024-10-28,0,
XM-DAC-46008-cfa012422,result_2,indicator_XM-DAC-46008-cfa012422_result_2_1,1,,,m2,,1900,2024-10-28,0,
XM-DAC-46008-cfa012422,result_3,indicator_XM-DAC-46008-cfa012422_result_3_1,1,,,#,,1900,2024-10-28,0,
XM-DAC-46008-cfa011318,result_1,indicator_XM-DAC-46008-cfa011318_result_1_1,1,,,#,,1900,2020-10-08,0,
XM-DAC-46008-cfa011318,result_2,indicator_XM-DAC-46008-cfa011318_result_2_1,1,,,#,,1900,2020-10-08,0,
XM-DAC-46008-cfa011318,result_3,indicator_XM-DAC-46008-cfa011318_result_3_1,1,,,#,,1900,2020-10-08,0,
XM-DAC-46008-cfa011318,result_4,indicator_XM-DAC-46008-cfa011318_result_4_1,1,,,#,,1900,2020-10-08,0,
