activity_identifier,org_ref,org_name,org_name_lang,org_type,role,activity_id,crs_channel_code
XM-DAC-46008-cfa012402,,República de El Salvador,,,4,,
XM-DAC-46008-cfa012672,,MINISTERIO DE TRANSPORTES Y COMUNICACIONES,,,4,,
XM-DAC-46008-cfa008422,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfa007671,,Corporación Eléctrica Nacional S.A.,,,4,,
XM-DAC-46008-cfa010505,,Municipio de Sorocaba,,,4,,
XM-DAC-46008-cfa012670,,MINISTERIO DE COMERCIO EXTERIOR INDUSTRIALIZACION Y PESCA ( ECUADOR),,,4,,
XM-DAC-46008-cfa011196,,MINISTERIO DE SALUD PúBLICA,,,4,,
XM-DAC-46008-cfa012714,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa012067,,MINISTERIO DE EDUCACIóN Y CULTURA,,,4,,
XM-DAC-46008-cfa012418,,PROVINCIA DE ENTRE RíOS,,,4,,
XM-DAC-46008-cfa011999,,MINISTERIO DE PLANIFICACIóN DEL DESARROLLO,,,4,,
XM-DAC-46008-cfa011694,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfa008548,,MINISTERIO DE EDUCACIóN,,,4,,
XM-DAC-46008-cfa010973,,MUNICIPIO DE CONTAGEM,,,4,,
XM-DAC-46008-cfa009545,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfa011872,,SECRETARIA DE TURISMO DO ESTADO DO CEARA,,,4,,
XM-DAC-46008-cfl0000003441,,BANCO DE OCCIDENTE,,,4,,
XM-DAC-46008-cfa008729,,Ministerio de Obras Públicas y Comunicaciones del Paraguay,,,4,,
XM-DAC-46008-cfa012503,,PREFEITURA MUNICIPAL DE PORTO ALEGRE,,,4,,
XM-DAC-46008-cfa012641,,REPúBLICA DOMINICANA,,,4,,
XM-DAC-46008-cfl0000003624,,Banco del Estado de Chile,,,4,,
XM-DAC-46008-cfa007902,,COMPAñíA HIDROLóGICA VENEZOLANA - HIDROVéN,,,4,,
