activity_identifier,result_ref,result_type,aggregation_status,title,description
XM-DAC-46008-cfa012402,result_1,3,,Fibra óptica instalada (km),
XM-DAC-46008-cfa012402,result_2,3,,Empleados públicos capacitados,
XM-DAC-46008-cfa012402,result_3,3,,Personas beneficiadas por nueva infraestructura de telecomunicaciones,
XM-DAC-46008-cfa012067,result_1,3,,Infraestructura educativa construida o rehabilitada,
XM-DAC-46008-cfa012067,result_2,3,,Estudiantes beneficiados por proyectos de educación,
XM-DAC-46008-cfa012418,result_1,3,,"Usuarios adicionales de la vía construida, mejorada o rehabilitada",
XM-DAC-46008-cfa012418,result_2,3,,"Carreteras construidas, mejoradas y/o rehabilitadas",
XM-DAC-46008-cfa012418,result_3,3,,Reducción en los costos de operación vehicular,
XM-DAC-46008-cfa012418,result_4,3,,Ahorro en tiempos de viaje (minutos),
XM-DAC-46008-cfa010973,result_1,3,,Viajeros en modos de transporte sostenibles nuevos o mejorados,
XM-DAC-46008-cfa010973,result_2,3,,Incidencia de siniestros con victimas,
XM-DAC-46008-cfa010973,result_3,3,,Personas viviendo en barrios beneficiadas por mejoras en el entorno de su hábitat,
XM-DAC-46008-cfa010973,result_4,3,,Ahorro en tiempos de viaje (minutos),
XM-DAC-46008-cfa010973,result_5,3,,"Carreteras construidas, mejoradas y/o rehabilitadas",
XM-DAC-46008-cfa011872,result_1,3,,Plantas de tratamiento de aguas residuales construidas o mejoradas,
XM-DAC-46008-cfa011872,result_2,3,,Conexiones nuevas de agua potable,
XM-DAC-46008-cfa011872,result_3,3,,Conexiones nuevas de alcantarillado,
XM-DAC-46008-cfa011872,result_4,3,,Plantas de tratamiento de agua potable construidas o mejoradas,
XM-DAC-46008-cfa011872,result_5,3,,Empleados públicos capacitados,
XM-DAC-46008-cfa011872,result_6,3,,Tuberías de agua potable instaladas ,
XM-DAC-46008-cfa011872,result_7,3,,Personas beneficiados por una conexión nueva o mejorada de agua potable y/o alcantarillado,
XM-DAC-46008-cfa011872,result_8,3,,Redes de alcantarillado construídas o mejoradas,
XM-DAC-46008-cfl0000003441,result_1,3,,Pymes beneficiadas por operaciones de CAF a través de intermediarios financieros tales como bancos comerciales y de desarrollo regionales o locales ,
XM-DAC-46008-cfl0000003441,result_2,3,,"Empresas beneficiadas por operaciones de CAF a través de intermediarios para capital de trabajo, comercio exterior, y proyectos de inversión",
XM-DAC-46008-cfa012503,result_1,3,,"Vías urbanas construidas, mejoradas y/o rehabilitadas",
XM-DAC-46008-cfa012503,result_2,3,,Personas viviendo en barrios beneficiadas por mejoras en el entorno de su hábitat,
XM-DAC-46008-cfa012503,result_3,3,,Beneficiarios de una mejor gestión y uso sostenible del medio ambiente,
XM-DAC-46008-cfa012503,result_4,3,,Puntos de concentración de siniestros mejorados,
XM-DAC-46008-cfa012503,result_5,3,,Superficie urbana mejorada,
XM-DAC-46008-cfa012422,result_1,3,,Estudiantes beneficiados por proyectos de educación,
XM-DAC-46008-cfa012422,result_2,3,,Infraestructura educativa construida o rehabilitada,
XM-DAC-46008-cfa012422,result_3,3,,Docentes capacitados,
XM-DAC-46008-cfa011318,result_1,3,,Personas beneficiadas por infraestructura de control de cursos o cuerpos de agua construidas o rehabilitadas,
XM-DAC-46008-cfa011318,result_2,3,,Personas viviendo en barrios beneficiadas por mejoras en el entorno de su hábitat,
XM-DAC-46008-cfa011318,result_3,3,,Personas que se benefician de soluciones de vivienda,
