activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XM-DAC-46008-cfa012402,10,Tecnologías de la información y la comunicación,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012672,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008422,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa007671,5,Energía e industrias extractivas,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010505,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012670,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011196,8,Salud,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012714,7,Protección y servicios sociales,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012067,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012418,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011999,7,Protección y servicios sociales,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011694,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008548,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010973,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa009545,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011872,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003441,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008729,7,Protección y servicios sociales,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012503,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012641,5,Energía e industrias extractivas,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003624,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa007902,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010613,5,Energía e industrias extractivas,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012422,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011318,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012320,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003735,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012119,5,Energía e industrias extractivas,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012677,1,Administración pública,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010852,5,Energía e industrias extractivas,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012400,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003619,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010824,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011807,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011177,7,Protección y servicios sociales,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012116,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003792,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010180,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010689,12,Multisectorial,99,https://www.caf.com/sectores-iati,
