activity_identifier,transaction_ref,transaction_type,transaction_date,value,currency,value_date,description,provider_org_ref,provider_org_name,provider_org_type,receiver_org_ref,receiver_org_name,receiver_org_type,disbursement_channel,flow_type,finance_type,aid_type,tied_status,humanitarian
XM-DAC-46008-cfa012402,,2,2024-10-07,145000000,USD,2024-10-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa012402,,3,2024-10-07,0,USD,2024-10-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa012672,,2,2025-07-18,29000000,USD,2025-07-18,,,,,,,,,,,,,0
XM-DAC-46008-cfa012672,,3,2025-07-18,0,USD,2025-07-18,,,,,,,,,,,,,0
XM-DAC-46008-cfa008422,,2,2013-12-16,138850000,USD,2013-12-16,,,,,,,,,,,,,0
XM-DAC-46008-cfa008422,,3,2024-09-30,120666086,USD,2024-09-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa007671,,2,2011-12-28,380000000,USD,2011-12-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa010505,,2,2018-10-09,70000000,USD,2018-10-09,,,,,,,,,,,,,0
XM-DAC-46008-cfa010505,,3,2025-04-08,43081997,USD,2025-04-08,,,,,,,,,,,,,0
XM-DAC-46008-cfa012670,,2,2025-07-18,200000000,USD,2025-07-18,,,,,,,,,,,,,0
XM-DAC-46008-cfa012670,,3,2025-07-18,0,USD,2025-07-18,,,,,,,,,,,,,0
XM-DAC-46008-cfa011196,,2,2020-04-17,50000000,USD,2020-04-17,,,,,,,,,,,,,0
XM-DAC-46008-cfa011196,,3,2020-12-30,48323671,USD,2020-12-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa012714,,2,2025-09-08,300000000,USD,2025-09-08,,,,,,,,,,,,,0
XM-DAC-46008-cfa012714,,3,2025-09-17,300000000,USD,2025-09-17,,,,,,,,,,,,,0
XM-DAC-46008-cfa012067,,2,2023-07-28,20204814,USD,2023-07-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa012067,,3,2025-04-25,15519530,USD,2025-04-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa012418,,2,2024-10-28,40000000,USD,2024-10-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa012418,,3,2024-10-28,0,USD,2024-10-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa011999,,2,2023-05-09,30000000,USD,2023-05-09,,,,,,,,,,,,,0
XM-DAC-46008-cfa011999,,3,2023-10-03,4500000,USD,2023-10-03,,,,,,,,,,,,,0
XM-DAC-46008-cfa011694,,2,2022-03-17,44225000,USD,2022-03-17,,,,,,,,,,,,,0
XM-DAC-46008-cfa011694,,3,2025-03-17,17935913,USD,2025-03-17,,,,,,,,,,,,,0
XM-DAC-46008-cfa008548,,2,2014-04-16,100000000,USD,2014-04-16,,,,,,,,,,,,,0
XM-DAC-46008-cfa008548,,3,2024-10-15,94660567,USD,2024-10-15,,,,,,,,,,,,,0
XM-DAC-46008-cfa010973,,2,2019-10-23,42000000,USD,2019-10-23,,,,,,,,,,,,,0
XM-DAC-46008-cfa010973,,3,2025-06-27,32560087,USD,2025-06-27,,,,,,,,,,,,,0
XM-DAC-46008-cfa009545,,2,2016-09-14,176000000,USD,2016-09-14,,,,,,,,,,,,,0
XM-DAC-46008-cfa009545,,3,2018-09-28,1583000,USD,2018-09-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa011872,,2,2022-11-29,60000000,USD,2022-11-29,,,,,,,,,,,,,0
XM-DAC-46008-cfa011872,,3,2025-05-28,9192981,USD,2025-05-28,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003441,,2,2022-04-19,75000000,USD,2022-04-19,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003441,,3,2025-09-25,75000000,USD,2025-09-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa008729,,2,2014-10-31,222076000,USD,2014-10-31,,,,,,,,,,,,,0
XM-DAC-46008-cfa008729,,3,2025-06-30,206946285,USD,2025-06-30,,,,,,,,,,,,,0
XM-DAC-46008-cfa012503,,2,2024-12-19,80000000,USD,2024-12-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa012503,,3,2024-12-19,0,USD,2024-12-19,,,,,,,,,,,,,0
XM-DAC-46008-cfa012641,,2,2025-06-02,75000000,USD,2025-06-02,,,,,,,,,,,,,0
XM-DAC-46008-cfa012641,,3,2025-06-02,0,USD,2025-06-02,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003624,,2,2023-01-31,200000000,USD,2023-01-31,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003624,,3,2025-09-25,200000000,USD,2025-09-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa007902,,2,2012-08-24,150000000,USD,2012-08-24,,,,,,,,,,,,,0
XM-DAC-46008-cfa010613,,2,2018-12-13,150000000,USD,2018-12-13,,,,,,,,,,,,,0
XM-DAC-46008-cfa010613,,3,2025-07-25,136921742,USD,2025-07-25,,,,,,,,,,,,,0
XM-DAC-46008-cfa012422,,2,2024-10-28,60000000,USD,2024-10-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa012422,,3,2025-04-09,10000000,USD,2025-04-09,,,,,,,,,,,,,0
XM-DAC-46008-cfa011318,,2,2020-10-08,96000000,USD,2020-10-08,,,,,,,,,,,,,0
XM-DAC-46008-cfa011318,,3,2025-06-12,74880000,USD,2025-06-12,,,,,,,,,,,,,0
XM-DAC-46008-cfa012320,,2,2024-07-08,35000000,USD,2024-07-08,,,,,,,,,,,,,0
XM-DAC-46008-cfa012320,,3,2025-06-20,375830,USD,2025-06-20,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003735,,2,2023-12-06,125000000,USD,2023-12-06,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003735,,3,2025-04-03,125000000,USD,2025-04-03,,,,,,,,,,,,,0
XM-DAC-46008-cfa012119,,2,2023-09-15,200000000,USD,2023-09-15,,,,,,,,,,,,,0
XM-DAC-46008-cfa012119,,3,2024-11-15,1375680,USD,2024-11-15,,,,,,,,,,,,,0
XM-DAC-46008-cfa012677,,2,2025-08-07,250000000,USD,2025-08-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa012677,,3,2025-09-29,250000000,USD,2025-09-29,,,,,,,,,,,,,0
XM-DAC-46008-cfa010852,,2,2019-07-24,170000000,USD,2019-07-24,,,,,,,,,,,,,0
XM-DAC-46008-cfa010852,,3,2025-02-28,157965759,USD,2025-02-28,,,,,,,,,,,,,0
XM-DAC-46008-cfa012400,,2,2024-10-07,320000000,USD,2024-10-07,,,,,,,,,,,,,0
XM-DAC-46008-cfa012400,,3,2025-07-22,103414469,USD,2025-07-22,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003619,,2,2022-12-02,17500000,USD,2022-12-02,,,,,,,,,,,,,0
XM-DAC-46008-cfl0000003619,,3,2025-05-29,13750000,USD,2025-05-29,,,,,,,,,,,,,0
XM-DAC-46008-cfa010824,,2,2019-06-14,80000000,USD,2019-06-14,,,,,,,,,,,,,0
XM-DAC-46008-cfa010824,,3,2024-01-24,78788000,USD,2024-01-24,,,,,,,,,,,,,0
XM-DAC-46008-cfa011807,,2,2022-09-02,53550000,USD,2022-09-02,,,,,,,,,,,,,0
