activity_identifier,title,title_lang,description,description_lang,activity_status,activity_scope,default_currency,humanitarian,hierarchy,last_updated_datetime,xml_lang,reporting_org_ref,reporting_org_name,reporting_org_name_lang,reporting_org_type,reporting_org_secondary_reporter,planned_start_date,actual_start_date,planned_end_date,actual_end_date,recipient_country_code,recipient_country_percentage,recipient_country_name,recipient_country_lang,recipient_region_code,recipient_region_percentage,recipient_region_name,recipient_region_lang,collaboration_type,default_flow_type,default_finance_type,default_aid_type,default_tied_status,conditions_attached
XI-IATI-IADB-AR-L1342,Integrated Urban Solid Waste Management Program II,en,Improve the comprehensive management of Urban Solid Waste (RSU). The specific objectives of this operation are: (i) to increase the adequate disposal of RSU; (ii) improve the recovery and valuation of MSW with a perspective of social inclusion; (iii) mitigate the negative environmental impacts of open-air dumps.,en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1248,Provincial Management Strengthening Program,en,"The general objective of this operation is to contribute to growth and private sector employment in the provinces by improving the management of revenue, expenditure, and public investment, and by implementing investment projects. The interaction between strengthening actions and public investment projects will help to: (i) create incentives for improving fiscal management by linking it with project financing; and (ii) ensure that improvements in the management of provincial investment are implemented. The operation's specific objectives at the provincial level are to: (i) increase provincial revenue, with a focus on the real estate tax; (ii) improve the management and targeting of provincial public expenditure; (iii) strengthen investment management; (iv) finance investment projects in strategic sectors, increasing private sector employment; and (v) provide support in the design of fiscal federalism reforms.",en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1344,"Water and Sanitation Program for the Buenos Aires Metropolitan Area and the Districts in the First, Second, and Third Rings of the Buenos Aires Conurbation - Tranche II",en,"The general objective of the program is to contribute to improving the quality of life of the population that lives in the Metropolitan Area of the City of Buenos Aires and the Districts of the First, Second and Third Cordón of the Conurbano Bonaerense. The specific objectives are: (i) to increase the coverage of the residential sewage network service; (ii) reduce unaccounted-for water in distribution networks in intervened areas; (iii) reduce the impact of wastewater discharges from the Berazategui Plant in the Río de la Plata; and (iv) improve efficiency in the provision of Water and Sanitation (W&S) services.",en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1002,Inst Improvement Prog for Productive Sector & Fiscal Admin in Provinces,en,"The general objective of the program is to contribute to the institutional strenghtening at provincial level, by establishing a framework of medium- and long-term fiscal and financial sustainability, maintaining an adequate fiscal balance through action on both the expenditure and the revenue sides; strengthening and upgrading the GCBA' s public administration by: (i) enhancing the efficiency and transparency of its management functions, and (ii) encouraging the participation of civil society through decentralization and strengthening of the legislative body; and supporting the investment program to ensure satisfactory quality and coverage of public services.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1017,Development of Satellite System and Applications Program,en,"The Program's objective will be to contribute to the gathering, managing, and using of complete spatial information cycles with applications that contribute to the improvement of socio-economic conditions of the country. To achieve those objectives, and given the high-risk characteristics of the Program, the development of a risk mitigation strategy will be needed. The Team will have the initial elements of such a strategy once it receives the requested information from CONAE during the Identification Mission. Some of the elements of that strategy should include the creation of an Expert External Panel to advise the Bank in technical matters, present to the Bank a Management and Action Plan for the entire Program (timetables, budget, responsibilities, milestones, etc.), perform an exhaustive economic evaluation of the Program to estimate the potential ex-ante benefits of the potential applications and the development of feasible projects' profiles according to a potential applications sample that justifies the investment.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1274,Connectivity and Safety Program for Road Corridors in the Province of Buenos Aires,en,"The general objective of the program is to help make the PBA's economy more productive by improving road infrastructure. The specific objectives are to: (i) help improve the quality of traffic flow by expanding the capacity of sections of the PBA's main road network, and enhance road safety, which will decrease vehicle operation costs, travel times, and traffic accidents; and (ii) help improve road spending efficiency by strengthening road planning and asset management processes, improving road network operations, and strengthening preinvestment frameworks.",en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1141,Technological Innovation Program III,en,"The project¿s general objective is to increase investment in research, development, and innovation with the aim of boosting the competitiveness and productivity of enterprises.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1084,Water and Sanitation Program for Urban and Suburban Centers (PAyS),en,To contribute to solve the potable water and sanitation problematic in the main centers and urban agglomerates of the country in order that the users who count on that service improve their quality of life and that the families who do not count on this one can get to have it in the short term.,en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1302,Program to support the equity and effectiveness of the social safety net in Argentina,en,"The general objective of the program is to help make social safety net programs in Argentina sustainable and more effective. Specifically, the program seeks to: (i) ensure the sustainability of cash transfer programs aimed at the vulnerable population in the context of the targets agreed upon by the Argentine government and the International Monetary Fund; (ii) promote the need to stay in and complete school as well as comprehensive job training for the beneficiary population of these transfers; (iii) boost the distributive efficiency of subsidies on public services; and (iv) enhance the efficiency of social safety net programs by their information management capacity of the data generated in program execution",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1027,Social Development Provincia de Córdoba,en,"Support the the Province of Cordoba in the implementation of its social development policy in three prioritiy sectors: education, health and social housing.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
