activity_identifier,type,iso_date,narrative,narrative_lang
XI-IATI-IADB-AR-L1342,2,2023-06-30,Actual start,
XI-IATI-IADB-AR-L1342,3,2028-03-17,Planned end,
XI-IATI-IADB-AR-L1342,1,2023-06-27,Planned start,
XI-IATI-IADB-AR-L1248,2,2017-05-12,Actual start,
XI-IATI-IADB-AR-L1248,3,2025-09-22,Planned end,
XI-IATI-IADB-AR-L1248,1,2017-04-20,Planned start,
XI-IATI-IADB-AR-L1344,2,2023-11-30,Actual start,
XI-IATI-IADB-AR-L1344,3,2027-12-16,Planned end,
XI-IATI-IADB-AR-L1344,1,2023-09-22,Planned start,
XI-IATI-IADB-AR-L1002,2,2006-01-13,Actual start,
XI-IATI-IADB-AR-L1002,3,2012-12-31,Planned end,
XI-IATI-IADB-AR-L1002,1,2005-12-22,Planned start,
XI-IATI-IADB-AR-L1002,4,2013-01-08,Actual end,
XI-IATI-IADB-AR-L1017,2,2006-12-01,Actual start,
XI-IATI-IADB-AR-L1017,3,2018-11-07,Planned end,
XI-IATI-IADB-AR-L1017,1,2006-11-23,Planned start,
XI-IATI-IADB-AR-L1017,4,2018-08-28,Actual end,
XI-IATI-IADB-AR-L1274,2,2020-12-07,Actual start,
XI-IATI-IADB-AR-L1274,3,2026-07-02,Planned end,
XI-IATI-IADB-AR-L1274,1,2020-03-27,Planned start,
XI-IATI-IADB-AR-L1141,2,2013-05-17,Actual start,
XI-IATI-IADB-AR-L1141,3,2018-03-19,Planned end,
XI-IATI-IADB-AR-L1141,1,2013-05-13,Planned start,
XI-IATI-IADB-AR-L1141,4,2017-07-11,Actual end,
XI-IATI-IADB-AR-L1084,2,2011-12-16,Actual start,
XI-IATI-IADB-AR-L1084,3,2020-07-31,Planned end,
XI-IATI-IADB-AR-L1084,1,2011-09-09,Planned start,
XI-IATI-IADB-AR-L1084,4,2021-01-12,Actual end,
XI-IATI-IADB-AR-L1302,2,2018-12-14,Actual start,
XI-IATI-IADB-AR-L1302,3,2022-12-03,Planned end,
XI-IATI-IADB-AR-L1302,1,2018-12-13,Planned start,
XI-IATI-IADB-AR-L1302,4,2023-08-02,Actual end,
XI-IATI-IADB-AR-L1027,2,2007-04-04,Actual start,
XI-IATI-IADB-AR-L1027,3,2013-09-30,Planned end,
XI-IATI-IADB-AR-L1027,1,2007-03-29,Planned start,
XI-IATI-IADB-AR-L1027,4,2014-03-28,Actual end,
XI-IATI-IADB-AR-L1353,2,2023-10-18,Actual start,
XI-IATI-IADB-AR-L1353,3,2028-03-17,Planned end,
XI-IATI-IADB-AR-L1353,1,2023-09-17,Planned start,
XI-IATI-IADB-AR-L1419,3,2027-12-14,Planned end,
XI-IATI-IADB-AR-L1419,1,2025-06-16,Planned start,
XI-IATI-IADB-AR-L1095,2,2010-07-26,Actual start,
XI-IATI-IADB-AR-L1095,3,2017-11-06,Planned end,
XI-IATI-IADB-AR-L1095,1,2010-06-29,Planned start,
