activity_identifier,contact_type,organisation,department,person_name,job_title,telephone,email,website,mailing_address
XI-IATI-IADB-AR-L1342,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1248,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1344,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1002,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1017,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1274,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1141,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1084,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1302,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1027,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1353,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1419,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1420,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1421,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1095,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1243,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1008,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1004,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1013,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1063,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1354,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1370,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1001,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1012,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1020,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1033,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1418,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1025,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1038,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1298,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1303,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1415,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1281,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1355,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1356,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1335,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1409,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1406,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1282,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1310,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1245,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1181,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1404,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1337,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1101,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1413,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1007,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1021,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1080,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1131,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1006,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1386,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1014,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1149,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1151,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1071,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1030,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1343,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1347,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1352,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1331,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1078,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1032,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1073,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1279,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1408,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1015,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1273,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1346,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1252,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1036,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1157,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1067,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1258,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1196,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1130,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1288,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1156,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1326,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1092,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1304,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1068,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1345,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1334,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1108,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1357,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1336,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1312,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1136,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1293,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1162,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1074,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1016,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1251,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1402,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1022,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1118,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1340,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1268,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1424,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1009,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1158,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1417,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1285,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1152,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1332,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1309,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1199,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1180,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1119,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1127,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1255,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1366,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1333,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1031,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1283,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1292,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1045,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
