activity_identifier,description_type,description_sequence,narrative,narrative_lang,narrative_sequence
XI-IATI-IADB-AR-L1342,1,1,Improve the comprehensive management of Urban Solid Waste (RSU). The specific objectives of this operation are: (i) to increase the adequate disposal of RSU; (ii) improve the recovery and valuation of MSW with a perspective of social inclusion; (iii) mitigate the negative environmental impacts of open-air dumps.,en,1
XI-IATI-IADB-AR-L1342,1,1,Mejorar la gestión integral de Residuos Sólidos Urbanos (RSU). Los objetivos específicos de esta operación son: (i) incrementar la disposición adecuada de RSU; (ii) mejorar la recuperación y valorización de RSU con perspectiva de inclusión social; (iii) mitigar los impactos negativos ambientales de basurales a cielo abierto.,es,2
XI-IATI-IADB-AR-L1248,1,1,"The general objective of this operation is to contribute to growth and private sector employment in the provinces by improving the management of revenue, expenditure, and public investment, and by implementing investment projects. The interaction between strengthening actions and public investment projects will help to: (i) create incentives for improving fiscal management by linking it with project financing; and (ii) ensure that improvements in the management of provincial investment are implemented. The operation's specific objectives at the provincial level are to: (i) increase provincial revenue, with a focus on the real estate tax; (ii) improve the management and targeting of provincial public expenditure; (iii) strengthen investment management; (iv) finance investment projects in strategic sectors, increasing private sector employment; and (v) provide support in the design of fiscal federalism reforms.",en,1
XI-IATI-IADB-AR-L1248,1,1,"El objetivo general de esta operación es contribuir al crecimiento y el empleo privado provincial, a través de la mejora de la gestión de los ingresos, gastos y de la inversión pública, y la implementación de proyectos de inversión. La interacción entre las acciones de fortalecimiento y los proyectos de inversión pública permitirá: (i) incentivar las mejoras en la gestión fiscal, a través de su vinculación con el financiamiento de proyectos; y (ii) asegurar que las mejoras en la gestión de la inversión provincial sean implementadas. La operación tiene como objetivos específicos a nivel provincial: (i) incrementar los ingresos provinciales, con foco en el impuesto inmobiliario; (ii) mejorar la gestión y focalización del gasto público provincial; (iii) fortalecer la gestión de la inversión; (iv) financiar proyectos de inversión en sectores estratégicos y así incrementar el empleo privado; y (v) apoyar en el diseño de reformas del Federalismo Fiscal.",es,2
XI-IATI-IADB-AR-L1344,1,1,"The general objective of the program is to contribute to improving the quality of life of the population that lives in the Metropolitan Area of the City of Buenos Aires and the Districts of the First, Second and Third Cordón of the Conurbano Bonaerense. The specific objectives are: (i) to increase the coverage of the residential sewage network service; (ii) reduce unaccounted-for water in distribution networks in intervened areas; (iii) reduce the impact of wastewater discharges from the Berazategui Plant in the Río de la Plata; and (iv) improve efficiency in the provision of Water and Sanitation (W&S) services.",en,1
XI-IATI-IADB-AR-L1344,1,1,"El objetivo general del programa es contribuir a mejorar la calidad de vida de la población que vive en el Área Metropolitana de la Ciudad de Buenos Aires y los Partidos del Primer, Segundo y Tercer Cordón del Conurbano Bonaerense. Los objetivos específicos son: (i) aumentar la cobertura del servicio de red cloacal domiciliaria; (ii) disminuir el agua no contabilizada en las redes de distribución en las áreas intervenidas; (iii) disminuir el impacto de las descargas de las aguas residuales de la Planta Berazategui en el Río de la Plata; y (iv) mejorar la eficiencia en la prestación de los servicios de agua y saneamiento (AyS).",es,2
XI-IATI-IADB-AR-L1002,1,1,"The general objective of the program is to contribute to the institutional strenghtening at provincial level, by establishing a framework of medium- and long-term fiscal and financial sustainability, maintaining an adequate fiscal balance through action on both the expenditure and the revenue sides; strengthening and upgrading the GCBA' s public administration by: (i) enhancing the efficiency and transparency of its management functions, and (ii) encouraging the participation of civil society through decentralization and strengthening of the legislative body; and supporting the investment program to ensure satisfactory quality and coverage of public services.",en,1
XI-IATI-IADB-AR-L1002,1,1,"El objetivo general del Programa es contribuir al fortalecimiento de los mecanismos de interacción entre Estado Nacional y las Provincias con respecto a los sectores productivos de las provincias de menor desarrollo relativo, y en materia de gestión fiscal para el conjunto de provincias del país.",es,2
XI-IATI-IADB-AR-L1017,1,1,"The Program's objective will be to contribute to the gathering, managing, and using of complete spatial information cycles with applications that contribute to the improvement of socio-economic conditions of the country. To achieve those objectives, and given the high-risk characteristics of the Program, the development of a risk mitigation strategy will be needed. The Team will have the initial elements of such a strategy once it receives the requested information from CONAE during the Identification Mission. Some of the elements of that strategy should include the creation of an Expert External Panel to advise the Bank in technical matters, present to the Bank a Management and Action Plan for the entire Program (timetables, budget, responsibilities, milestones, etc.), perform an exhaustive economic evaluation of the Program to estimate the potential ex-ante benefits of the potential applications and the development of feasible projects' profiles according to a potential applications sample that justifies the investment.",en,1
XI-IATI-IADB-AR-L1017,1,1,"El objetivo del Programa será contribuir a la obtención, gestión y uso de ciclos de información espacial completos con aplicaciones que contribuyan a mejorar las condiciones socioeconómicas del país.Para lograr dichos objetivos y dadas las características de alto riesgo del Programa, se deberá desarrollar una estrategia de mitigación de riesgos. Se podrá contar con los elementos iniciales de dicha estrategia de mitigación de riesgos del Programa una vez que se reciban informaciones solicitadas a la CONAE en la Misión de Identificación. Algunos de los elementos de dicha estrategia deberían incluir la creación de un Panel Externo de Expertos que pueda asesorar al Banco en cuestiones técnicas, la presentación al Banco de un Plan de Gestión y Acción para el Programa completo (cronogramas, presupuestos, responsables, hitos, etc), la realización de una evaluación económica exhaustiva del Programa para estimar ex-ante los beneficios potenciales de las aplicaciones potenciales y el desarrollo de perfiles de proyecto a nivel de factibilidad de al menos una muestra de aplicaciones potenciales que justifiquen la inversión.",es,2
