activity_identifier,url,format,title,description,category_code,language_code,document_date
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZIDB0000578-522669563-44045,application/pdf,AR-L1342 First period Jan-Jun 2023 - Public Report.PDF,,A05,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZSHARE-965128629-49494,application/pdf,Programa de Gestin Integral de  Residuos Slidos Urbanos II.pdf,,A04,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZIDB0000578-522669563-43375,application/pdf,AR-L1342 Second period Jan-Dec 2022 - Public Report.PDF,,A05,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZSHARE-1449121723-84,application/pdf,Argentina. CCLIP Integrated Urban Solid Waste Management Program AR-O0018 and AR-L1342 First Operation.pdf,,A01,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZSHARE-1449121723-83,application/pdf,Argentina. CCLIP Programa de Gestin Integral de Residuos Slidos Urbanos AR-O0018 y AR-L13421 1a. Operacin.pdf,,A01,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZSHARE-1375635338-34270,application/pdf,AR-L1342P1087596SP.pdf,,A10,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZIDB0000366-2056220512-9275,application/pdf,Contrato de Prstamo - Programa de Gestin Integral de Residuos Slidos Urbanos II - AR-L1342.pdf,,A04,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZIDB0000578-522669563-45373,application/pdf,AR-L1342 First period Jan-Jun 2024 - Public Report.PDF,,A05,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZSHARE-965128629-49495,application/pdf,Integrated Urban Solid Waste Management  Program II.pdf,,A04,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZIDB0000366-965128629-50232,application/pdf,Programa de Apoyo para la Insercin Laboral en Honduras GRF.pdf,,A04,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZSHARE-1375635338-34759,application/pdf,AR-L1342P1129680SP.pdf,,A10,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZIDB0000366-965128629-50233,application/pdf,Support Program for Workforce Integration in Honduras GRF.pdf,,A04,na,
XI-IATI-IADB-AR-L1342,https://www.iadb.org/document.cfm?id=EZIDB0000578-522669563-46916,application/pdf,AR-L1342 Second period Jan-Dec 2024 - Public Report.PDF,,A05,na,
