activity_identifier,result_ref,indicator_ref,period_start,period_end,target_value,target_comment,actual_value,actual_comment
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_1,2024-01-31,2024-12-31,2.00,,0.00,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_2,2025-01-31,2025-12-31,2.00,,0.00,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_3,2024-01-31,2024-12-31,2.00,,0.00,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_4,2025-01-31,2025-12-31,2.00,,0.00,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_5,2025-01-31,2025-12-31,20.00,,0.00,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_6,2024-01-31,2024-12-31,2.00,,0.00,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_7,2025-01-31,2025-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_8,2023-01-31,2023-12-31,2.00,,1.80,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_9,2025-01-31,2025-12-31,10.00,,0.00,
XI-IATI-IADB-AR-L1342,result_2,indicator_XI-IATI-IADB-AR-L1342_result_2_1,2023-01-31,2023-12-31,2.00,,1.40,
XI-IATI-IADB-AR-L1342,result_2,indicator_XI-IATI-IADB-AR-L1342_result_2_2,2025-01-31,2025-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1342,result_2,indicator_XI-IATI-IADB-AR-L1342_result_2_3,2024-01-31,2024-12-31,2.00,,0.35,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_1,2020-01-31,2020-12-31,2.00,,0.10,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_2,2018-01-31,2018-12-31,3.00,,0.30,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_3,2019-01-31,2019-12-31,5.00,,0.60,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_4,2018-01-31,2018-12-31,2.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_5,2017-01-31,2017-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_6,2018-01-31,2018-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_7,2019-01-31,2019-12-31,1.00,,0.11,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_8,2018-01-31,2018-12-31,2.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_9,2018-01-31,2018-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_10,2019-01-31,2019-12-31,1.00,,0.09,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_11,2018-01-31,2018-12-31,2.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_12,2018-01-31,2018-12-31,2.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_13,2019-01-31,2019-12-31,1.00,,0.58,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_14,2018-01-31,2018-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_15,2020-01-31,2020-12-31,1.00,,0.93,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_16,2018-01-31,2018-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_17,2019-01-31,2019-12-31,2.00,,0.06,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_18,2019-01-31,2019-12-31,4.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_19,2017-01-31,2017-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_20,2018-01-31,2018-12-31,5.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_21,2020-01-31,2020-12-31,1.00,,0.21,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_22,2019-01-31,2019-12-31,2.00,,0.58,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_23,2018-01-31,2018-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_24,2018-01-31,2018-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1248,result_2,indicator_XI-IATI-IADB-AR-L1248_result_2_1,2020-01-31,2020-12-31,2.00,,0.00,
XI-IATI-IADB-AR-L1248,result_2,indicator_XI-IATI-IADB-AR-L1248_result_2_2,2019-01-31,2019-12-31,6.00,,0.92,
XI-IATI-IADB-AR-L1248,result_2,indicator_XI-IATI-IADB-AR-L1248_result_2_3,2018-01-31,2018-12-31,2.00,,0.00,
XI-IATI-IADB-AR-L1248,result_2,indicator_XI-IATI-IADB-AR-L1248_result_2_4,2017-01-31,2017-12-31,1.00,,1.00,
XI-IATI-IADB-AR-L1344,result_1,indicator_XI-IATI-IADB-AR-L1344_result_1_1,2024-01-31,2024-12-31,4.00,,0.00,
XI-IATI-IADB-AR-L1344,result_1,indicator_XI-IATI-IADB-AR-L1344_result_1_2,2024-01-31,2024-12-31,36.00,,0.00,
XI-IATI-IADB-AR-L1344,result_1,indicator_XI-IATI-IADB-AR-L1344_result_1_3,2024-01-31,2024-12-31,142636.00,,0.00,
XI-IATI-IADB-AR-L1344,result_1,indicator_XI-IATI-IADB-AR-L1344_result_1_4,2024-01-31,2024-12-31,50.00,,0.00,
XI-IATI-IADB-AR-L1344,result_1,indicator_XI-IATI-IADB-AR-L1344_result_1_5,2024-01-31,2024-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1344,result_1,indicator_XI-IATI-IADB-AR-L1344_result_1_6,2024-01-31,2024-12-31,3.00,,0.00,
XI-IATI-IADB-AR-L1344,result_1,indicator_XI-IATI-IADB-AR-L1344_result_1_7,2024-01-31,2024-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1344,result_2,indicator_XI-IATI-IADB-AR-L1344_result_2_1,2024-01-31,2024-12-31,50.00,,0.00,
XI-IATI-IADB-AR-L1344,result_2,indicator_XI-IATI-IADB-AR-L1344_result_2_2,2024-01-31,2024-12-31,29620.00,,0.00,
XI-IATI-IADB-AR-L1344,result_2,indicator_XI-IATI-IADB-AR-L1344_result_2_3,2024-01-31,2024-12-31,26650.00,,0.00,
XI-IATI-IADB-AR-L1344,result_2,indicator_XI-IATI-IADB-AR-L1344_result_2_4,2024-01-31,2024-12-31,15.00,,0.00,
XI-IATI-IADB-AR-L1017,result_1,indicator_XI-IATI-IADB-AR-L1017_result_1_1,2008-01-31,2008-12-31,3.00,,3.00,
XI-IATI-IADB-AR-L1017,result_1,indicator_XI-IATI-IADB-AR-L1017_result_1_2,2008-01-31,2008-12-31,1.00,,1.00,
XI-IATI-IADB-AR-L1017,result_1,indicator_XI-IATI-IADB-AR-L1017_result_1_3,2010-01-31,2010-12-31,1.00,,1.00,
XI-IATI-IADB-AR-L1017,result_2,indicator_XI-IATI-IADB-AR-L1017_result_2_1,2010-01-31,2010-12-31,1.00,,1.00,
XI-IATI-IADB-AR-L1017,result_2,indicator_XI-IATI-IADB-AR-L1017_result_2_2,2008-01-31,2008-12-31,1.00,,1.00,
XI-IATI-IADB-AR-L1274,result_1,indicator_XI-IATI-IADB-AR-L1274_result_1_1,2022-01-31,2022-12-31,139.95,,25.00,
XI-IATI-IADB-AR-L1274,result_1,indicator_XI-IATI-IADB-AR-L1274_result_1_2,2023-01-31,2023-12-31,11.00,,0.00,
XI-IATI-IADB-AR-L1274,result_1,indicator_XI-IATI-IADB-AR-L1274_result_1_3,2024-01-31,2024-12-31,10.55,,0.00,
XI-IATI-IADB-AR-L1274,result_1,indicator_XI-IATI-IADB-AR-L1274_result_1_4,2024-01-31,2024-12-31,190.00,,0.00,
XI-IATI-IADB-AR-L1274,result_1,indicator_XI-IATI-IADB-AR-L1274_result_1_5,2024-01-31,2024-12-31,28.50,,21.40,
XI-IATI-IADB-AR-L1274,result_2,indicator_XI-IATI-IADB-AR-L1274_result_2_1,2023-01-31,2023-12-31,8000.00,,8650.00,
XI-IATI-IADB-AR-L1274,result_2,indicator_XI-IATI-IADB-AR-L1274_result_2_2,2023-01-31,2023-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1274,result_2,indicator_XI-IATI-IADB-AR-L1274_result_2_3,2023-01-31,2023-12-31,1.00,,0.00,
XI-IATI-IADB-AR-L1274,result_2,indicator_XI-IATI-IADB-AR-L1274_result_2_4,2021-01-31,2021-12-31,110.00,,0.00,
XI-IATI-IADB-AR-L1274,result_2,indicator_XI-IATI-IADB-AR-L1274_result_2_5,2022-01-31,2022-12-31,230.00,,0.00,
XI-IATI-IADB-AR-L1274,result_2,indicator_XI-IATI-IADB-AR-L1274_result_2_6,2024-01-31,2024-12-31,150.00,,0.00,
XI-IATI-IADB-AR-L1274,result_2,indicator_XI-IATI-IADB-AR-L1274_result_2_7,2023-01-31,2023-12-31,110.00,,72.40,
XI-IATI-IADB-AR-L1141,result_1,indicator_XI-IATI-IADB-AR-L1141_result_1_1,2015-01-31,2015-12-31,3.00,,1.00,
XI-IATI-IADB-AR-L1141,result_1,indicator_XI-IATI-IADB-AR-L1141_result_1_2,2016-01-31,2016-12-31,2.00,,5.00,
XI-IATI-IADB-AR-L1141,result_1,indicator_XI-IATI-IADB-AR-L1141_result_1_3,2016-01-31,2016-12-31,15.00,,32.00,
XI-IATI-IADB-AR-L1141,result_1,indicator_XI-IATI-IADB-AR-L1141_result_1_4,2015-01-31,2015-12-31,11.00,,23.00,
XI-IATI-IADB-AR-L1141,result_1,indicator_XI-IATI-IADB-AR-L1141_result_1_5,2014-01-31,2014-12-31,4.00,,0.00,
XI-IATI-IADB-AR-L1141,result_2,indicator_XI-IATI-IADB-AR-L1141_result_2_1,2015-01-31,2015-12-31,3.00,,29.00,
XI-IATI-IADB-AR-L1141,result_2,indicator_XI-IATI-IADB-AR-L1141_result_2_2,2016-01-31,2016-12-31,3.00,,23.00,
XI-IATI-IADB-AR-L1141,result_2,indicator_XI-IATI-IADB-AR-L1141_result_2_3,2015-01-31,2015-12-31,2.00,,4.00,
XI-IATI-IADB-AR-L1141,result_2,indicator_XI-IATI-IADB-AR-L1141_result_2_4,2017-01-31,2017-12-31,420.00,,0.00,
XI-IATI-IADB-AR-L1141,result_2,indicator_XI-IATI-IADB-AR-L1141_result_2_5,2015-01-31,2015-12-31,420.00,,225.00,
XI-IATI-IADB-AR-L1141,result_2,indicator_XI-IATI-IADB-AR-L1141_result_2_6,2016-01-31,2016-12-31,420.00,,1.00,
XI-IATI-IADB-AR-L1141,result_2,indicator_XI-IATI-IADB-AR-L1141_result_2_7,2015-01-31,2015-12-31,100.00,,236.00,
XI-IATI-IADB-AR-L1141,result_2,indicator_XI-IATI-IADB-AR-L1141_result_2_8,2014-01-31,2014-12-31,100.00,,195.00,
XI-IATI-IADB-AR-L1141,result_2,indicator_XI-IATI-IADB-AR-L1141_result_2_9,2013-01-31,2013-12-31,50.00,,175.00,
XI-IATI-IADB-AR-L1141,result_3,indicator_XI-IATI-IADB-AR-L1141_result_3_1,2015-01-31,2015-12-31,1.00,,1.00,
XI-IATI-IADB-AR-L1141,result_4,indicator_XI-IATI-IADB-AR-L1141_result_4_1,2015-01-31,2015-12-31,50.00,,6.00,
XI-IATI-IADB-AR-L1141,result_4,indicator_XI-IATI-IADB-AR-L1141_result_4_2,2014-01-31,2014-12-31,50.00,,203.00,
XI-IATI-IADB-AR-L1141,result_5,indicator_XI-IATI-IADB-AR-L1141_result_5_1,2016-01-31,2016-12-31,80.00,,0.00,
XI-IATI-IADB-AR-L1141,result_5,indicator_XI-IATI-IADB-AR-L1141_result_5_2,2015-01-31,2015-12-31,80.00,,83.00,
XI-IATI-IADB-AR-L1141,result_5,indicator_XI-IATI-IADB-AR-L1141_result_5_3,2014-01-31,2014-12-31,40.00,,84.00,
XI-IATI-IADB-AR-L1141,result_5,indicator_XI-IATI-IADB-AR-L1141_result_5_4,2013-01-31,2013-12-31,40.00,,112.00,
XI-IATI-IADB-AR-L1141,result_5,indicator_XI-IATI-IADB-AR-L1141_result_5_5,2016-01-31,2016-12-31,150.00,,40.00,
XI-IATI-IADB-AR-L1141,result_5,indicator_XI-IATI-IADB-AR-L1141_result_5_6,2014-01-31,2014-12-31,50.00,,130.00,
XI-IATI-IADB-AR-L1141,result_5,indicator_XI-IATI-IADB-AR-L1141_result_5_7,2015-01-31,2015-12-31,80.00,,14.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_1,2015-01-31,2015-12-31,5.26,,2.82,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_2,2013-01-31,2013-12-31,3.90,,0.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_3,2014-01-31,2014-12-31,7.10,,9.94,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_4,2015-01-31,2015-12-31,2.70,,1.86,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_5,2013-01-31,2013-12-31,4.10,,5.45,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_6,2012-01-31,2012-12-31,0.51,,0.51,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_7,2014-01-31,2014-12-31,4.50,,4.03,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_8,2014-01-31,2014-12-31,65.00,,48.71,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_9,2012-01-31,2012-12-31,6.50,,6.50,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_10,2015-01-31,2015-12-31,67.34,,44.03,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_11,2013-01-31,2013-12-31,35.00,,47.50,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_12,2013-01-31,2013-12-31,3.85,,10.87,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_13,2014-01-31,2014-12-31,6.00,,0.97,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_14,2015-01-31,2015-12-31,5.82,,3.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_15,2014-01-31,2014-12-31,3080.00,,4326.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_16,2013-01-31,2013-12-31,1210.00,,3505.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_17,2015-01-31,2015-12-31,7315.00,,3183.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_18,2013-01-31,2013-12-31,31.00,,31.89,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_19,2012-01-31,2012-12-31,6.90,,6.90,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_20,2014-01-31,2014-12-31,50.00,,49.67,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_21,2015-01-31,2015-12-31,58.20,,37.26,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_22,2012-01-31,2012-12-31,4.91,,4.91,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_23,2013-01-31,2013-12-31,1.20,,1.40,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_24,2015-01-31,2015-12-31,1.13,,1.37,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_25,2014-01-31,2014-12-31,2.00,,1.49,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_26,2013-01-31,2013-12-31,1480.00,,4595.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_27,2015-01-31,2015-12-31,8295.00,,3385.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_28,2014-01-31,2014-12-31,3890.00,,4038.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_29,2020-01-31,2020-12-31,465.00,,0.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_30,2019-01-31,2019-12-31,430.00,,0.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_31,2018-01-31,2018-12-31,350.00,,515.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_32,2020-01-31,2020-12-31,10.00,,0.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_33,2019-01-31,2019-12-31,10.00,,0.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_34,2018-01-31,2018-12-31,10.00,,10.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_35,2017-01-31,2017-12-31,10.00,,0.00,
XI-IATI-IADB-AR-L1084,result_1,indicator_XI-IATI-IADB-AR-L1084_result_1_36,2016-01-31,2016-12-31,8.50,,0.00,
