activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_1,1,,,Estudios de sostenibilidad financiera elaborados,Estudios de sostenibilidad financiera elaborados,,,,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_2,1,,,Estudios de sostenibilidad financiera elaborados,Estudios de sostenibilidad financiera elaborados,,,,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_3,1,,,Planes de Fortalecimiento de Capacidades en el municipio con enfoque de género y discapacidad elaborados e implementados,Planes de Fortalecimiento de Capacidades en el municipio con enfoque de género y discapacidad elaborados e implementados,,,,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_4,1,,,Planes de Fortalecimiento de Capacidades en el municipio con enfoque de género y discapacidad elaborados e implementados,Planes de Fortalecimiento de Capacidades en el municipio con enfoque de género y discapacidad elaborados e implementados,,,,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_5,1,,,Equipamiento para reciclado entregado,Equipamiento para reciclado entregado,,,,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_6,1,,,Planes de Inclusión Social de recuperadores con perspectiva de género e inclusión de personas con discapacidad elaborados y aprobados,Planes de Inclusión Social de recuperadores con perspectiva de género e inclusión de personas con discapacidad elaborados y aprobados,,,,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_7,1,,,Planes de Inclusión Social de recuperadores con perspectiva de género e inclusión de personas con discapacidad elaborados y aprobados,Planes de Inclusión Social de recuperadores con perspectiva de género e inclusión de personas con discapacidad elaborados y aprobados,,,,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_8,1,,,Planes de Inclusión Social de recuperadores con perspectiva de género e inclusión de personas con discapacidad elaborados y aprobados,Planes de Inclusión Social de recuperadores con perspectiva de género e inclusión de personas con discapacidad elaborados y aprobados,,,,
XI-IATI-IADB-AR-L1342,result_1,indicator_XI-IATI-IADB-AR-L1342_result_1_9,1,,,Equipamiento para mejora de la gestión de basurales entregado,Equipamiento para mejora de la gestión de basurales entregado,,,,
XI-IATI-IADB-AR-L1342,result_2,indicator_XI-IATI-IADB-AR-L1342_result_2_1,1,,,Estudios de preinversión elaborados,Estudios de preinversión elaborados,,,,
XI-IATI-IADB-AR-L1342,result_2,indicator_XI-IATI-IADB-AR-L1342_result_2_2,1,,,Estudios de preinversión elaborados,Estudios de preinversión elaborados,,,,
XI-IATI-IADB-AR-L1342,result_2,indicator_XI-IATI-IADB-AR-L1342_result_2_3,1,,,Estudios de preinversión elaborados,Estudios de preinversión elaborados,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_1,1,,,Provincias con sistema integrado e identificatorio de beneficiarios de programas sociales y subsidios,Provincias con sistema integrado e identificatorio de beneficiarios de programas sociales y subsidios,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_2,1,,,Provincias con sistema integrado e identificatorio de beneficiarios de programas sociales y subsidios,Provincias con sistema integrado e identificatorio de beneficiarios de programas sociales y subsidios,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_3,1,,,Provincias con sistema integrado e identificatorio de beneficiarios de programas sociales y subsidios,Provincias con sistema integrado e identificatorio de beneficiarios de programas sociales y subsidios,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_4,1,,,N° de gobiernos provinciales con Sistemas de Administración Financiera modernizados,N° de gobiernos provinciales con Sistemas de Administración Financiera modernizados,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_5,1,,,Sistema de Recaudación del Convenio Multilateral fortalecido y optimizado,Sistema de Recaudación del Convenio Multilateral fortalecido y optimizado,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_6,1,,,N° de gobiernos provinciales con Sistemas de Registros de la Propiedad modernizados,N° de gobiernos provinciales con Sistemas de Registros de la Propiedad modernizados,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_7,1,,,N° de gobiernos provinciales con Sistemas de Registros de la Propiedad modernizados,N° de gobiernos provinciales con Sistemas de Registros de la Propiedad modernizados,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_8,1,,,Nueva Metodología de Estimación del Producto Bruto Geográfico (PBG),Nueva Metodología de Estimación del Producto Bruto Geográfico (PBG),,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_9,1,,,N° de gobiernos provinciales con Sistemas de Recursos Humanos y Planillas modernizados,N° de gobiernos provinciales con Sistemas de Recursos Humanos y Planillas modernizados,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_10,1,,,N° de gobiernos provinciales con Sistemas de Administración de Bienes o Ecompras actualizados,N° de gobiernos provinciales con Sistemas de Administración de Bienes o Ecompras actualizados,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_11,1,,,N° de gobiernos provinciales con Sistemas de Administración de Bienes o Ecompras actualizados,N° de gobiernos provinciales con Sistemas de Administración de Bienes o Ecompras actualizados,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_12,1,,,N° de gobiernos provinciales con Sistemas de Inversión Publica fortalecidos,N° de gobiernos provinciales con Sistemas de Inversión Publica fortalecidos,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_13,1,,,N° de gobiernos provinciales con Sistemas de Inversión Publica fortalecidos,N° de gobiernos provinciales con Sistemas de Inversión Publica fortalecidos,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_14,1,,,Diseño de una Agencia Federal de Catastro Nacional,Diseño de una Agencia Federal de Catastro Nacional,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_15,1,,,N° de gobiernos provinciales con Sistemas de Información Territorial modernizados,N° de gobiernos provinciales con Sistemas de Información Territorial modernizados,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_16,1,,,N° de gobiernos provinciales con Sistemas de Información Territorial modernizados,N° de gobiernos provinciales con Sistemas de Información Territorial modernizados,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_17,1,,,N° de gobiernos provinciales con Sistemas de Información Territorial modernizados,N° de gobiernos provinciales con Sistemas de Información Territorial modernizados,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_18,1,,,Estudios y seminarios para el desarrollo de una nueva propuesta de Ley de Coparticipación,Estudios y seminarios para el desarrollo de una nueva propuesta de Ley de Coparticipación,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_19,1,,,Estudios y seminarios para el desarrollo de una nueva propuesta de Ley de Coparticipación,Estudios y seminarios para el desarrollo de una nueva propuesta de Ley de Coparticipación,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_20,1,,,Estudios y seminarios para el desarrollo de una nueva propuesta de Ley de Coparticipación,Estudios y seminarios para el desarrollo de una nueva propuesta de Ley de Coparticipación,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_21,1,,,N° de gobiernos provinciales con Sistemas de Administración Tributaria modernizados,N° de gobiernos provinciales con Sistemas de Administración Tributaria modernizados,,,,
XI-IATI-IADB-AR-L1248,result_1,indicator_XI-IATI-IADB-AR-L1248_result_1_22,1,,,N° de gobiernos provinciales con Sistemas de Administración Tributaria modernizados,N° de gobiernos provinciales con Sistemas de Administración Tributaria modernizados,,,,
