activity_identifier,org_ref,org_name,org_type,role,activity_id,crs_channel_code
XI-IATI-IADB-AR-L1342,AR-AR,NACION ARGENTINA,10,2,,
XI-IATI-IADB-AR-L1342,XI-IATI-IADB,INTER AMERICAN DEVELOPMENT BANK,40,1,,
XI-IATI-IADB-AR-L1342,AR-SAYDS,"MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE 
",10,4,,
XI-IATI-IADB-AR-L1342,XI-IATI-IADB,Ordinary Capital,40,3,,
XI-IATI-IADB-AR-L1342,XI-IATI-IADB,Ordinary Capital,40,3,,
XI-IATI-IADB-AR-L1248,AR-MINI,"MINISTERIO DEL INTERIOR 
 
",10,4,,
XI-IATI-IADB-AR-L1248,AR-AR,NACION ARGENTINA,10,2,,
XI-IATI-IADB-AR-L1248,XI-IATI-IADB,INTER AMERICAN DEVELOPMENT BANK,40,1,,
XI-IATI-IADB-AR-L1248,XI-IATI-IADB,Ordinary Capital,40,3,,
XI-IATI-IADB-AR-L1248,XI-IATI-IADB,Ordinary Capital,40,3,,
XI-IATI-IADB-AR-L1344,XI-IATI-IADB,Ordinary Capital,40,3,,
XI-IATI-IADB-AR-L1344,AR-AYSA,"AGUA Y SANEAMIENTOS ARGENTINOS SA AYSA 
 
",10,4,,
XI-IATI-IADB-AR-L1344,AR-AR,NACION ARGENTINA,10,2,,
XI-IATI-IADB-AR-L1344,XI-IATI-IADB,INTER AMERICAN DEVELOPMENT BANK,40,1,,
XI-IATI-IADB-AR-L1344,XI-IATI-IADB,INTER AMERICAN DEVELOPMENT BANK,40,1,,
XI-IATI-IADB-AR-L1002,AR-AR,NACION ARGENTINA,10,2,,
XI-IATI-IADB-AR-L1002,XI-IATI-IADB,INTER AMERICAN DEVELOPMENT BANK,40,1,,
XI-IATI-IADB-AR-L1002,AR-MEYOSP,MINISTERIO DE ECONOMIA Y FINANZAS PUBL,10,4,,
XI-IATI-IADB-AR-L1002,XI-IATI-IADB,Ordinary Capital,40,3,,
XI-IATI-IADB-AR-L1002,XI-IATI-IADB,Ordinary Capital,40,3,,
