activity_identifier,result_ref,result_type,aggregation_status,title,description
XI-IATI-IADB-AR-L1342,result_1,1,false,Fortalecimiento del Sector y Gestión Ambiental y Social,Fortalecimiento del Sector y Gestión Ambiental y Social
XI-IATI-IADB-AR-L1342,result_2,1,false,Sistemas para Saneamiento Ambiental,Sistemas para Saneamiento Ambiental
XI-IATI-IADB-AR-L1248,result_1,1,false,"Componente 1: Fortalecimiento de la administración tributaria y gestión y política de gasto público, junto a la gestión de la inversión pública.","Componente 1: Fortalecimiento de la administración tributaria y gestión y política de gasto público, junto a la gestión de la inversión pública."
XI-IATI-IADB-AR-L1248,result_2,1,false,Componente 2: Inversiones para el Desarrollo,Componente 2: Inversiones para el Desarrollo
XI-IATI-IADB-AR-L1344,result_1,1,false,Fortalecimiento Institucional,Fortalecimiento Institucional
XI-IATI-IADB-AR-L1344,result_2,1,false,Sistema de Agua Potable,Sistema de Agua Potable
XI-IATI-IADB-AR-L1017,result_1,1,false,Desarrollo de aplicaciones,Desarrollo de aplicaciones
XI-IATI-IADB-AR-L1017,result_2,1,false,Segmento satelital y terrestre,Segmento satelital y terrestre
XI-IATI-IADB-AR-L1274,result_1,1,false,Componente 1: Obras Civiles,Componente 1: Obras Civiles
XI-IATI-IADB-AR-L1274,result_2,1,false,Componente 2: Fortalecimiento Institucional,Componente 2: Fortalecimiento Institucional
XI-IATI-IADB-AR-L1141,result_1,1,false,Componente I.1: Apoyo a la Innovación Tecnológica Sectorial y Regional (FITS/R),Componente I.1: Apoyo a la Innovación Tecnológica Sectorial y Regional (FITS/R)
XI-IATI-IADB-AR-L1141,result_2,1,false,Componente I.2: Fortalecimiento de Capacidades de Innovación y de Investigación,Componente I.2: Fortalecimiento de Capacidades de Innovación y de Investigación
XI-IATI-IADB-AR-L1141,result_3,1,false,Componente I.3: Infraestructura y consolidación del SIN,Componente I.3: Infraestructura y consolidación del SIN
XI-IATI-IADB-AR-L1141,result_4,1,false,Componente II.1: Formación de profesionales en áreas prioritarias de la ciencia y la tecnología.,Componente II.1: Formación de profesionales en áreas prioritarias de la ciencia y la tecnología.
XI-IATI-IADB-AR-L1141,result_5,1,false,Componente II.2: Especialización y estancias cortas en gestión de la innovación,Componente II.2: Especialización y estancias cortas en gestión de la innovación
XI-IATI-IADB-AR-L1084,result_1,1,false,Sistema Integral de Desagües Cloacales del Gran San Juan,Sistema Integral de Desagües Cloacales del Gran San Juan
XI-IATI-IADB-AR-L1084,result_2,1,false,Sistema Integral de Saneamiento del Gran San Miguel de Tucumán,Sistema Integral de Saneamiento del Gran San Miguel de Tucumán
XI-IATI-IADB-AR-L1084,result_3,2,false,Sistema cloacal de la ciudad de San Juan mejorado,Sistema cloacal de la ciudad de San Juan mejorado
XI-IATI-IADB-AR-L1084,result_4,2,false,Sistema cloacal de la ciudad de San Miguel de Tucumán mejorado,Sistema cloacal de la ciudad de San Miguel de Tucumán mejorado
XI-IATI-IADB-AR-L1084,result_5,1,false,Sistema de Agua Potable de la Ciudad de San Salvador de Jujuy,Sistema de Agua Potable de la Ciudad de San Salvador de Jujuy
XI-IATI-IADB-AR-L1084,result_6,2,false,Sistema de Agua Potable de la ciudad de San Salvador de Jujuy mejorado,Sistema de Agua Potable de la ciudad de San Salvador de Jujuy mejorado
XI-IATI-IADB-AR-L1302,result_1,1,false,Componente 1: Empleabilidad de beneficiarios de programas de protección social,Componente 1: Empleabilidad de beneficiarios de programas de protección social
XI-IATI-IADB-AR-L1302,result_2,1,false,Componente 2: Continuidad educativa de jóvenes de familias vulnerables,Componente 2: Continuidad educativa de jóvenes de familias vulnerables
XI-IATI-IADB-AR-L1302,result_3,1,false,Componente 3: Accesibilidad al transporte público,Componente 3: Accesibilidad al transporte público
XI-IATI-IADB-AR-L1302,result_4,1,false,Componente 4: Apoyo a la Coordinación de Políticas Sociales,Componente 4: Apoyo a la Coordinación de Políticas Sociales
XI-IATI-IADB-AR-L1302,result_5,2,false,Regularidad educativa entre jóvenes de 18 a 24 años mantenida,Regularidad educativa entre jóvenes de 18 a 24 años mantenida
XI-IATI-IADB-AR-L1353,result_1,1,false,"Apoyo a micro, pequeñas y medianas empresas lideradas por jóvenes y mujeres","Apoyo a micro, pequeñas y medianas empresas lideradas por jóvenes y mujeres"
XI-IATI-IADB-AR-L1353,result_2,1,false,Apoyo para la Comercialización de Pequeños y Medianos Establecimientos Vitivinícolas,Apoyo para la Comercialización de Pequeños y Medianos Establecimientos Vitivinícolas
XI-IATI-IADB-AR-L1353,result_3,1,false,Innovación Tecnológica y Organizacional para la Producción Vitícola,Innovación Tecnológica y Organizacional para la Producción Vitícola
XI-IATI-IADB-AR-L1243,result_1,1,false,Apoyo a la Gobernabilidad de Áreas Metropolitanas,Apoyo a la Gobernabilidad de Áreas Metropolitanas
XI-IATI-IADB-AR-L1243,result_2,1,false,Gestión de Áreas Metropolitanas - Fortalecimiento Institucional de las AM,Gestión de Áreas Metropolitanas - Fortalecimiento Institucional de las AM
XI-IATI-IADB-AR-L1243,result_3,1,false,Gestión de Áreas Metropolitanas - Inversiones en áreas metropolitanas,Gestión de Áreas Metropolitanas - Inversiones en áreas metropolitanas
XI-IATI-IADB-AR-L1008,result_1,2,false,Comunicación del HSN con la ciudadanía mejorada,Comunicación del HSN con la ciudadanía mejorada
XI-IATI-IADB-AR-L1008,result_2,1,false,Comunicación social y gestión del cambio,Comunicación social y gestión del cambio
XI-IATI-IADB-AR-L1008,result_3,1,false,Gestión Parlamentaria y proceso de formación de la ley,Gestión Parlamentaria y proceso de formación de la ley
XI-IATI-IADB-AR-L1008,result_4,1,false,Gestión administrativa y financiera del Senado,Gestión administrativa y financiera del Senado
XI-IATI-IADB-AR-L1008,result_5,2,false,Honorable Senado de la Nación fortalecido con su función legislativa mejorada,Honorable Senado de la Nación fortalecido con su función legislativa mejorada
XI-IATI-IADB-AR-L1004,result_1,1,false,Apoyo a la estructuración y promoción de los corredores,Apoyo a la estructuración y promoción de los corredores
XI-IATI-IADB-AR-L1004,result_2,1,false,Fortalecimiento de la administración turística nacional,Fortalecimiento de la administración turística nacional
