activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XI-IATI-IADB-AR-L1342,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1342,14050,,1,,
XI-IATI-IADB-AR-L1248,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1248,15185,,1,,
XI-IATI-IADB-AR-L1344,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1344,14022,,1,,
XI-IATI-IADB-AR-L1002,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1002,15185,,1,,
XI-IATI-IADB-AR-L1017,ST,SCIENCE AND TECHNOLOGY,99,,
XI-IATI-IADB-AR-L1017,32182,,1,,
XI-IATI-IADB-AR-L1274,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1274,21011,,1,,
XI-IATI-IADB-AR-L1141,ST,SCIENCE AND TECHNOLOGY,99,,
XI-IATI-IADB-AR-L1141,32182,,1,,
XI-IATI-IADB-AR-L1084,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1084,14020,,1,,
XI-IATI-IADB-AR-L1302,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1302,16011,,1,,
XI-IATI-IADB-AR-L1027,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1027,11240,,1,,
XI-IATI-IADB-AR-L1353,AG,AGRICULTURE AND RURAL DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1353,31110,,1,,
XI-IATI-IADB-AR-L1419,FM,FINANCIAL MARKETS,99,,
XI-IATI-IADB-AR-L1419,24040,,1,,
XI-IATI-IADB-AR-L1420,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1420,43032,,1,,
XI-IATI-IADB-AR-L1421,SA,HEALTH,99,,
XI-IATI-IADB-AR-L1421,12191,,1,,
XI-IATI-IADB-AR-L1095,EN,ENERGY,99,,
XI-IATI-IADB-AR-L1095,23630,,1,,
XI-IATI-IADB-AR-L1243,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1243,43032,,1,,
XI-IATI-IADB-AR-L1008,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1008,15142,,1,,
XI-IATI-IADB-AR-L1004,TU,SUSTAINABLE TOURISM,99,,
XI-IATI-IADB-AR-L1004,33210,,1,,
XI-IATI-IADB-AR-L1013,PS,PRIVATE FIRMS AND SME DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1013,25010,,1,,
XI-IATI-IADB-AR-L1063,AG,AGRICULTURE AND RURAL DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1063,31193,,1,,
XI-IATI-IADB-AR-L1354,EN,ENERGY,99,,
XI-IATI-IADB-AR-L1354,23630,,1,,
XI-IATI-IADB-AR-L1370,EN,ENERGY,99,,
XI-IATI-IADB-AR-L1370,23010,,1,,
XI-IATI-IADB-AR-L1001,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1001,15142,,1,,
