activity_identifier,transaction_ref,transaction_type,transaction_date,value,currency,value_date,description,provider_org_ref,provider_org_name,provider_org_type,receiver_org_ref,receiver_org_name,receiver_org_type,disbursement_channel,flow_type,finance_type,aid_type,tied_status,humanitarian
XI-IATI-IADB-AR-L1342,,3,2023-12-31,8000000,USD,2023-12-31,Disbursement in fourth quarter of 2023,,Ordinary Capital,40,,MINISTERIO DE AMBIENTE Y DESARROLLO,10,,,,,,0
XI-IATI-IADB-AR-L1342,,3,2023-06-30,6000000,USD,2023-06-30,Disbursement in second quarter of 2023,,Ordinary Capital,40,,MINISTERIO DE AMBIENTE Y DESARROLLO,10,,,,,,0
XI-IATI-IADB-AR-L1342,,2,2022-08-03,70000000,USD,2022-08-03,Commitment in 2022-08-03,XI-IATI-IADB,Ordinary Capital,40,XI-IATI-IADB,Inter-American Development Bank,40,,,,,,0
XI-IATI-IADB-AR-L1248,,3,2019-11-30,1713863,USD,2019-11-30,Disbursement in fourth quarter of 2019,,Ordinary Capital,40,,M.INT.OP Y V-3001/325-PFGP BID 3835-US,90,,,,,,0
XI-IATI-IADB-AR-L1248,,3,2021-06-30,6754702,USD,2021-06-30,Disbursement in second quarter of 2021,,Ordinary Capital,40,,MINISTERIO DEL INTERIOR,10,,,,,,0
XI-IATI-IADB-AR-L1248,,3,2022-11-30,8912720,USD,2022-11-30,Disbursement in fourth quarter of 2022,,Ordinary Capital,40,,MINISTERIO DEL INTERIOR,10,,,,,,0
XI-IATI-IADB-AR-L1248,,3,2025-06-30,4280144,USD,2025-06-30,Disbursement in second quarter of 2025,,Ordinary Capital,40,,MINISTERIO DEL INTERIOR,10,,,,,,0
XI-IATI-IADB-AR-L1248,,3,2020-01-31,1548245,USD,2020-01-31,Disbursement in first quarter of 2020,,Ordinary Capital,40,,M.INT.OP Y V-3001/325-PFGP BID 3835-US,90,,,,,,0
XI-IATI-IADB-AR-L1248,,3,2023-06-30,5750000,USD,2023-06-30,Disbursement in second quarter of 2023,,Ordinary Capital,40,,MINISTERIO DEL INTERIOR,10,,,,,,0
XI-IATI-IADB-AR-L1248,,3,2020-06-30,8277306,USD,2020-06-30,Disbursement in second quarter of 2020,,Ordinary Capital,40,,M.INT.OP Y V-3001/325-PFGP BID 3835-US,90,,,,,,0
XI-IATI-IADB-AR-L1248,,3,2021-10-31,7928603,USD,2021-10-31,Disbursement in fourth quarter of 2021,,Ordinary Capital,40,,MINISTERIO DEL INTERIOR,10,,,,,,0
