activity_identifier,title,description,activity_status,activity_scope,default_currency,humanitarian,hierarchy,last_updated_datetime,xml_lang,reporting_org_ref,reporting_org_name,reporting_org_type,planned_start_date,actual_start_date,planned_end_date,actual_end_date,recipient_country_code,recipient_country_name,recipient_country_lang,recipient_region_code,recipient_region_name,recipient_region_lang,collaboration_type,default_flow_type,default_finance_type,default_aid_type,default_tied_status
XM-DAC-46007-500437,Programa de Obras Estratégicas de Infraestructura Vial (Programa de Obras),"La operación consiste en la ampliación del monto y alcance del préstamo 2080 del CONAVI, mediante el cual se financia el Programa de Obras Estratégicas de Infraestructura Vial. El Programa de Obras consiste en un conjunto de obras de construcción, reconstrucción y rehabilitación de carreteras y puentes de la Red Vial Nacional que en resumen incluye: nuevas carreteras en zonas urbanas de San José, la conclusión del tramo norte del anillo periférico o Carretera de Circunvalación, además del acceso a obras portuarias, la ampliación y rehabilitación de tres puentes nacionales y cuatro pasos a desnivel nuevos.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2025-01-27,,,,CR,Costa Rica,es,,,,,,,,
XM-DAC-46007-500834,Ampliación y Rehabilitación de la Autopista Philip Goldson,"Financiar parcialmente la ampliación y rehabilitación, de una sección con una longitud de 25.75 kilómetros (16.0 millas), de la Autopista Philip Goldson la cual conecta la Ciudad de Belice con la frontera Sur de México, beneficiando el traslado de las exportaciones e importaciones, el empleo temporal durante la ejecución del proyecto y los ahorros de mantenimiento durante la operación del mismo.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,BZ,Belice,es,,,,,,,,
XM-DAC-46007-500218,Programa de Sostenibilidad del Sector Eléctrico de Nicaragua,"El programa consiste en el desarrollo de una serie de proyectos que permitirán, por una parte, la reducción de pérdidas de energía y, por otra parte, el mejoramiento de la infraestructura de la red de distribución de energía eléctrica lo que redundará en una mejora en la sostenibilidad del sector eléctrico de Nicaragua.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,NI,Nicaragua,es,,,,,,,,
XM-DAC-46007-501079,Programa de Crédito para la Agroindustria y Cajas Rurales,"El Programa de Crédito para la Agroindustria y Cajas Rurales, consiste en el financiamiento a la República de Honduras destinados a financiar el fortalecimiento operativo, administrativo y financiero de cajas rurales , brindando asistencia técnica, capital productivo  y crédito, en apoyo a micro, pequeño y medianos  agricultores organizados (asociaciones, cooperativas, cajas rurales), y no organizados (productores independientes), con la finalidad de incrementar y mejorar la productividad del sector agropecuario y agroindustrial del país, y así contribuir a la seguridad alimentaria de familias pobres con producción de autoconsumo e incremento de los ingresos por medio de comercialización de productos agroalimentarios. ",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,HN,Honduras,es,,,,,,,,
XM-DAC-46007-501078,Programa de Carreteras Resilientes de Honduras (PCR),"El Programa de Carreteras Resilientes de Honduras, contempla la intervención en la zona oriente, occidente y norte del país con 351.1 km conformados por siete tramos carreteros que forman parte de la red vial primaria y secundaria del país, divididos así: i) la rehabilitación y mejoramiento de 335.1 km y; ii) la construcción de una carretera nueva con longitud de 16.0 km.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,HN,Honduras,es,,,,,,,,
XM-DAC-46007-500267,Programa de Alcantarillado y Control de Inundaciones para Limón,"El Programa de Alcantarillado y Control de Inundaciones para Limón, está compuesto por dos proyectos, cuyo objetivo conjunto es proveer a esa región del país con las condiciones de saneamiento básico necesarias que mejoren la calidad de vida de la población, estos son: a) Proyecto de Alcantarillado Sanitario para Limón y b) Proyecto del Sistema de Control de Inundaciones en el Área de Limoncito.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,CR,Costa Rica,es,,,,,,,,
XM-DAC-46007-501148,Programa de Apoyo a la Seguridad Alimentaria en Argentina. Fase III,El Programa se encuentra dirigido a apoyar parcialmente las transferencias monetarias que realiza el Gobierno de Argentina con el objetivo de complementar los ingresos de las familias en situación de vulnerabilidad social del país y apoyar la seguridad alimentaria.,1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,AR,Argentina,es,,,,,,,,
XM-DAC-46007-501128,Programa de Recuperación Sostenible del Lago de Yojoa,"El programa consiste en la implementación de una serie de acciones dirigidas al rescate sostenible y la recuperación de la Cuenca del Lago de Yojoa, mediante la reducción de las presiones contaminantes, el mejoramiento de la calidad del agua y la promoción de una gestión integral y sostenible de la misma; todas ellas enfocadas en recuperar las condiciones del sitio, en beneficio de las comunidades y ecosistemas.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,HN,Honduras,es,,,,,,,,
XM-DAC-46007-302411,Programa de Sostenibilidad del Sector Agua y Saneamiento Rural,"Ampliación del acceso a los servicios de Agua y Saneamiento en las zonas rurales del país, invirtiendo al mismo tiempo en el fortalecimiento de las capacidades tanto a nivel municipal como comunitario, lo que contribuye a garantizar la sostenibilidad de dichas inversiones.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,NI,Nicaragua,es,,,,,,,,
XM-DAC-46007-500192,Proyecto de Gestión por Resultados en Salud para la Atención de Población Adulta Mayor en la Argentina (PROGERSA),"Con este Proyecto el gobierno argentino buscar el mejoramiento y fortalecimiento de las capacidades de gestión del INSSJP, en beneficio de más de 4.8 millones de personas, en su mayoría adultos mayores, que atiende a través de la implementación de un modelo de gestión por resultados en salud, así como el mejoramiento en los sistemas de información sobre el historial clínico de las personas y con el desarrollo de estudios para tener un mejor conocimiento de la situación de salud y las características sociales de grupos poblaciones de mayor vulnerabilidad, tales como la población centenaria y los veteranos de la guerra de Malvinas.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,AR,Argentina,es,,,,,,,,
XM-DAC-46007-500276,Proyecto de Saneamiento de Bluefield,"El proyecto consiste en la construcción del sistema de alcantarillado sanitario y planta de tratamiento de la ciudad de Bluefields, que permitirá la recolección, conducción y tratamiento de las aguas residuales generadas en la ciudad y de la bahía de Bluefields; se cumplirá con la normativa nacional en material ambiental y sanitaria; y se mejorará la salud y calidad de vida de la población.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,NI,Nicaragua,es,,,,,,,,
XM-DAC-46007-500429,Proyecto de Mejoramiento y Ampliación de los Sistemas de Agua Potable y Saneamiento en 7 Ciudades,"El proyecto comprende el mejoramiento y ampliación de los sistemas de alcantarillado sanitario de las ciudades de Chichigalpa, Chinandega, El Viejo, León, Jinotepe y Ciudad Darío (incluyendo la comunidad adyacente de Las Calabazas); la construcción del sistema de alcantarillado sanitario de la ciudad de Telica; y el mejoramiento y ampliación de los sistemas de agua potable de las ciudades de León y Jinotepe. El proyecto contempla en el rubro de saneamiento 51,788 conexiones intradomiciliaries, 496.02 km en red de colectores, 8 plantas de tratamiento etc. En la parte de Agua potable 214.86 km de red de distribución, 11,968 conexiones nuevas, 13 tanques, 19 pozos nuevos etc.",1,,USD,0,1,2025-11-27T11:23:57.523Z,es,XM-DAC-46007,Banco Centroamericano de Integración Económica,40,2026-01-01,,,,NI,Nicaragua,es,,,,,,,,
