activity_identifier,url,format,title,tile_lang,description,description_lang,category_code,lenguage_code,document_date
XM-DAC-46007-501105,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO 2334 OPD II PANAMÁ EV.pdf,application/pdf,CTO 2334 OPD II PANAMÁ EV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2024-06-05
XM-DAC-46007-500717,https://bcie2014.sharepoint.com/:b:/s/DocPub/EftbwcOGUANFkB4VwKXO558BBiYzDm9Is4azbS0VAJEBzQ,application/pdf,2222_NI_ Plan SIEMAS Incremento PuertoCorinto VF,es,Plan SIEMAS ex ante (Categoría A y B1),es,A01,es,2021-06-01
XM-DAC-46007-501111,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/452/2310 Contrato de LCR FOVIAL ES 14AGO2024.pdf,application/pdf,2310 Contrato de LCR FOVIAL ES 14AGO2024,es,Contrato de Línea de Crédito Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2024-08-14
XM-DAC-46007-500669,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2274 Argentina (Executed 05-10-21).pdf,application/pdf,Contrato Préstamo 2274 Argentina (Executed 05-10-21),es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-10-05
XM-DAC-46007-500495,https://bcie2014.sharepoint.com/:b:/s/DocPub/EUNqwHzhtAFKsZzUrS7emJsBFGTJQV5Hm8WHJ6Hz3iFc4g,application/pdf,2266_NI_ Plan SIEMAS BIOCLIMA VF,es,Plan SIEMAS ex ante (Categoría A y B1),es,A01,es,2021-06-01
XM-DAC-46007-501224,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/452/ADENDA 2 CTO LC 2310 14AGOS2024 FOVIAL SV1.pdf,application/pdf,ADENDA 2 CTO LC 2310 14AGOS2024 FOVIAL SV,es,Contrato de Línea de Crédito Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-08-22
XM-DAC-46007-500556,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/ADENDA 1 CTO PTMO 2252 REPUBLICA COSTA RICA.pdf,application/pdf,ADENDA 1 CTO PTMO 2252 REPUBLICA COSTA RICA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-12-10
XM-DAC-46007-500889,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/452/CTO LC 2309 CEL SV1.pdf,application/pdf,CTO LC 2309 CEL SV,es,Contrato de Línea de Crédito Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-10-16
XM-DAC-46007-501220,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2350 Refrendado 8Sep2025.pdf,application/pdf,Contrato de Préstamo 2350,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-09-22
XM-DAC-46007-302270,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/452/CTO PTMO 2101 REPUBLICA DE HONDURAS.pdf,application/pdf,CTO PTMO 2101 REPUBLICA DE HONDURAS,es,Contrato de Línea de Crédito Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2013-02-26
XM-DAC-46007-500761,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2288 REPUBLICA DE EL SALVADOR SV.pdf,application/pdf,CTO PTMO 2288 REPUBLICA DE EL SALVADOR SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-11-26
XM-DAC-46007-500888,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/452/LC 2310 FOVIAL.pdf,application/pdf,LC 2310 FOVIAL,es,Contrato de Línea de Crédito Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-12-09
XM-DAC-46007-500604,https://bcie2014.sharepoint.com/:b:/s/DocPub/EXaoz7V8eZNMoQzh5MSiM2UBus3Y5B0FROGVphgMDtwt9w,application/pdf,CTO PMO 2253 República de El Salvador,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-05-14
XM-DAC-46007-500701,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/452/ADENDA 1 CTO PTMO 2278 - Republica de Nicaragua NI.pdf,application/pdf,ADENDA 1 CTO PTMO 2278 - Republica de Nicaragua NI,es,Contrato de Línea de Crédito Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-10-27
XM-DAC-46007-501239,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato firmado y fechado.pdf,application/pdf,Contrato de Préstamo 2355 República Argentina,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-10-01
XM-DAC-46007-500189,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PMTO (2181) Republica de Guatemala.pdf,application/pdf,CTO PMTO (2181) Republica de Guatemala,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2020-05-20
XM-DAC-46007-301839,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/contrato prestamo FTN.pdf,application/pdf,Contrato Prestamo FTN,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2009-09-11
XM-DAC-46007-500270,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2230  Republica de Guatemala firmado .pdf,application/pdf,CTO PTMO 2230  Republica de Guatemala firmado ,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-10-01
XM-DAC-46007-500734,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2292 (firmado).pdf,application/pdf,Contrato Préstamo 2292 PROBIOCUBA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-09-23
XM-DAC-46007-500035,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo No. 2161 (firmado).pdf,application/pdf,CTO PMO 2161 ARGENTINA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2016-10-21
XM-DAC-46007-500192,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo No. 2193 (Executed 20-02-18).pdf,application/pdf,CTO PMO 2193 ARGENTINA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2018-02-20
XM-DAC-46007-500426,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo No. 2233 (Signed 110221).pdf,application/pdf,CTO PMO 2233 JUJUY ARGENTINA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-02-11
XM-DAC-46007-500705,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2280 Argentina (Executed 28-09-21) (1).pdf,application/pdf,CTO PMO 2280 ARGENTINA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-09-28
XM-DAC-46007-500258,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/BCIE Contrato del Prestamo No. 2215 FIRMADO ambas partes.pdf,application/pdf,CTO PMO 2215 ARGENTINA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2020-09-17
XM-DAC-46007-500818,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2258 Argentina (Executed 24-09-21).pdf,application/pdf,CTO PMO 2258 ARGENTINA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-09-24
XM-DAC-46007-500271,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo No. 2206_Campus Gorgas firmado por ambas partes.pdf,application/pdf,Contrato de Préstamo No. 2206_Campus Gorgas firmado por ambas partes,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2018-01-29
XM-DAC-46007-500208,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PMO 2190 SANEAMIENTO PANAMÁ.pdf,application/pdf,CTO PMO 2190 SANEAMIENTO PANAMÁ,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2017-06-07
XM-DAC-46007-302457,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2147  PROGRAMA INTEGRAL DE SEGURIDAD DE BELICE.pdf,application/pdf,Contrato de Préstamo 2147,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2015-08-21
XM-DAC-46007-500267,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PMO 2198 COSTA RICA.pdf,application/pdf,CTO PMO 2198 COSTA RICA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2019-01-07
XM-DAC-46007-500627,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2273 Ampl Sist Transm Elect NIC Firmado 12 07 21 ECastro 12 07 21.pdf,application/pdf,Contrato de Préstamo 2273 Sector Público con Garantía Soberana,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-07-12
XM-DAC-46007-500627,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2273 Ampl Sist Transm Elect NIC Firmado 12 07 21.pdf,application/pdf,Contrato Préstamo 2273 Ampl Sist Transm Elect NIC Firmado 12 07 21,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-07-12
XM-DAC-46007-500646,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2283 Saneamto Lago Mgua Ribera Sur firmado 12 11 21.pdf,application/pdf,Contrato Préstamo 2283 Saneamto Lago Mgua Ribera Sur firmado 12 11 21,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-10-08
XM-DAC-46007-500674,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2272 A Fortalecimnto Atnción Red Hospitalaria firmado 02 06 21.pdf,application/pdf,Contrato Préstamo 2272 A Fortalecimnto Atnción Red Hospitalaria firmado 02 06 21,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-06-02
XM-DAC-46007-500910,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2316 REPUBLICA DE EL SALVADOR SV.pdf,application/pdf,CTO PTMO 2316 REPUBLICA DE EL SALVADOR SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-01-05
XM-DAC-46007-500712,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2281 FONDO SOCIAL PARA LA VIVIENDA SV.pdf,application/pdf,CTO PTMO 2281 FONDO SOCIAL PARA LA VIVIENDA SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-08-26
XM-DAC-46007-500712,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/ADENDA 1 CTO PTMO 2281 FONDO SOCIAL PARA LA VIVIENDA SV.pdf,application/pdf,ADENDA 1 CTO PTMO 2281 FONDO SOCIAL PARA LA VIVIENDA SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-03-15
XM-DAC-46007-500357,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2221 REPUBLICA DE HONDURAS.pdf,application/pdf,CTO PTMO 2221 REPUBLICA DE HONDURAS,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2018-12-17
XM-DAC-46007-500537,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2248-A BANHPROVI HN1.pdf,application/pdf,CTO PTMO 2248-A BANHPROVI HN,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2020-06-01
XM-DAC-46007-501128,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2336 REPUBLICA HONDURAS1.pdf,application/pdf,CTO PTMO 2336 REPUBLICA HONDURAS,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-07-05
