activity_identifier,result_ref,indicator_ref,period_start,period_end,target_value,target_comment,actual_value,actual_comment
XM-DAC-46007-301839,result_1,result_1_17,6/30/2024,6/1/2025,15,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,15,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-301839,result_1,result_1_2,6/30/2024,6/1/2025,335.68,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,287.33,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302270,result_1,result_1_20,6/30/2024,6/1/2025,9255,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,108217.9,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302270,result_2,result_2_24,6/30/2024,6/1/2025,7347,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,382,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302270,result_2,result_2_25,6/30/2024,6/1/2025,464,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302270,result_2,result_2_26,6/30/2024,6/1/2025,367,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,13,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302270,result_2,result_2_27,6/30/2024,6/1/2025,3,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302270,result_2,result_2_28,6/30/2024,6/1/2025,14381,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,1350,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302302,result_1,result_1_24,6/30/2024,6/1/2025,18,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,39,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302302,result_1,result_1_25,6/30/2024,6/1/2025,242,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
