activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,sector,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
XM-DAC-46007-301839,result_1,result_1_2,1,1,NULL,Víal,Longitud de carretera rehabilitada,Número de kilómetros rehabilitados en el proyecto. Este indicador solo se utiliza en la mejora de una carretera existente.,2008,NULL,0,NULL
XM-DAC-46007-301839,result_1,result_1_17,1,1,NULL,Víal,Puentes nuevos - rehabilitados,Cantidad de puentes contruidos y/o rehabilitados dentro del proyecto.,2008,NULL,0,NULL
XM-DAC-46007-302270,result_2,result_2_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2012,NULL,0,NULL
XM-DAC-46007-302270,result_2,result_2_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2012,NULL,0,NULL
XM-DAC-46007-302270,result_2,result_2_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2012,NULL,0,NULL
XM-DAC-46007-302270,result_2,result_2_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2012,NULL,0,NULL
XM-DAC-46007-302270,result_2,result_2_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2012,NULL,0,NULL
XM-DAC-46007-302270,result_1,result_1_20,1,1,NULL,"Agronegocios, Desarrollo Rural ",Área bajo riego,"Área en hectáreas en la cual se construyó un sistema de riego a raíz del desarrollo del proyecto. Por área bajo riego se entenderá el área donde se realiza la aplicación artificial de agua para beneficiar los cultivos. Por ejemplo: riego por goteo, aspersión, entre otros. ",2012,NULL,0,NULL
XM-DAC-46007-302302,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2013,NULL,0,NULL
XM-DAC-46007-302302,result_1,result_1_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2013,NULL,0,NULL
XM-DAC-46007-302302,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2013,NULL,0,NULL
XM-DAC-46007-302302,result_1,result_1_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2013,NULL,0,NULL
XM-DAC-46007-302302,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2013,NULL,0,NULL
XM-DAC-46007-302411,result_2,result_2_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2014,NULL,0,NULL
XM-DAC-46007-302411,result_2,result_2_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2014,NULL,0,NULL
XM-DAC-46007-302411,result_2,result_2_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2014,NULL,0,NULL
XM-DAC-46007-302411,result_2,result_2_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2014,NULL,0,NULL
XM-DAC-46007-302411,result_2,result_2_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2014,NULL,0,NULL
XM-DAC-46007-302411,result_1,result_1_7,1,1,NULL,Agua y Sanemiento,Conexiones domiciliarias de alcantarillado sanitario,Cantidad de conexiones domiciliarias de alcantarillado  nuevas y rehabilitadas como parte del proyecto.,2014,NULL,0,NULL
XM-DAC-46007-302411,result_1,result_1_6,1,1,NULL,Agua y Sanemiento,Conexiones domiciliarias de agua potable,Cantidad de conexiones domiciliarias de agua potable nuevas y rehabilitadas como parte del proyecto.,2014,NULL,0,NULL
XM-DAC-46007-302441,result_2,result_2_12,1,1,NULL,Salud,Área de construcción - salud,Cantidad de metros cuadrados construidos y rehabilitados por el proyecto correspondientes a infraestructura orientada a la atención del sector salud.,2014,NULL,0,NULL
XM-DAC-46007-302441,result_2,result_2_11,1,1,NULL,Salud,Camas hospitalarias censables y no censables,"Cantidad de camas censables y no censables brindadas por el proyecto al hospital, clínica o centro de salud. Las camas censables son las camas de hospitalización utilizadas de forma regular para pacientes internos, controladas por admisión. Las camas no censables (o de tránsito) son para atenciones transitorias y de corta estancia, como observación o inicio de tratamiento. ",2014,NULL,0,NULL
XM-DAC-46007-302441,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2014,NULL,741958,NULL
XM-DAC-46007-302441,result_1,result_1_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2014,NULL,0,NULL
XM-DAC-46007-302441,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2014,NULL,170,NULL
XM-DAC-46007-302441,result_1,result_1_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2014,NULL,0,NULL
XM-DAC-46007-302441,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2014,NULL,261,NULL
XM-DAC-46007-302457,result_3,result_3_18,1,1,NULL,Seguridad,Espacios vinculados a la seguridad ciudadana,"Número de infraestructuras físicas construidas, ampliadas, rehabilitadas destinadas a la prevención, control y atención en materia de seguridad ciudadana. Incluye celdas, unidades policiales, centros y granjas penitenciarias.",2014,NULL,0,NULL
XM-DAC-46007-302457,result_2,result_2_14,1,1,NULL,Salud,"Inversión en salud (equipo, tecnología)","Monto de los recursos del proyecto  para la obtención de productos tecnológicos y equipos que aportan al desarrollo del sector salud, incluyendo equipo médico, equipo no médico (como muebles y equipos de oficina), entre otros.",2014,NULL,0,NULL
XM-DAC-46007-302457,result_2,result_2_13,1,1,NULL,Salud,"Número de centros de atención médica (hospitales, centros de salud, etc) a intervenir","Cantidad de establecimientos de salud (hospitales, clínicas, centros de salud, puestos médicos u otras instalaciones sanitarias) beneficiados con obras de construcción, ampliación, rehabilitación o mantenimiento en el marco del proyecto.",2014,NULL,0,NULL
XM-DAC-46007-302457,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2014,NULL,410919,NULL
XM-DAC-46007-302457,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2014,NULL,719,NULL
XM-DAC-46007-302457,result_1,result_1_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2014,NULL,0,NULL
XM-DAC-46007-302457,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2014,NULL,4769,NULL
XM-DAC-46007-500022,result_2,result_2_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2015,NULL,309774,NULL
XM-DAC-46007-500022,result_2,result_2_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2015,NULL,0,NULL
XM-DAC-46007-500022,result_2,result_2_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2015,NULL,0,NULL
XM-DAC-46007-500022,result_2,result_2_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2015,NULL,0,NULL
XM-DAC-46007-500022,result_2,result_2_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2015,NULL,5,NULL
XM-DAC-46007-500022,result_1,result_1_7,1,1,NULL,Agua y Sanemiento,Conexiones domiciliarias de alcantarillado sanitario,Cantidad de conexiones domiciliarias de alcantarillado  nuevas y rehabilitadas como parte del proyecto.,2015,NULL,0,NULL
XM-DAC-46007-500022,result_1,result_1_6,1,1,NULL,Agua y Sanemiento,Conexiones domiciliarias de agua potable,Cantidad de conexiones domiciliarias de agua potable nuevas y rehabilitadas como parte del proyecto.,2015,NULL,0,NULL
XM-DAC-46007-500035,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2015,NULL,0,NULL
XM-DAC-46007-500035,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2015,NULL,9,NULL
XM-DAC-46007-500035,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2015,NULL,22,NULL
XM-DAC-46007-500179,result_2,result_2_2,1,1,NULL,Víal,Longitud de carretera rehabilitada,Número de kilómetros rehabilitados en el proyecto. Este indicador solo se utiliza en la mejora de una carretera existente.,2016,NULL,0,NULL
XM-DAC-46007-500179,result_2,result_2_17,1,1,NULL,Víal,Puentes nuevos - rehabilitados,Cantidad de puentes contruidos y/o rehabilitados dentro del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500179,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2016,NULL,14431,NULL
XM-DAC-46007-500179,result_1,result_1_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500179,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500179,result_1,result_1_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,NULL,348,NULL
XM-DAC-46007-500179,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500189,result_1,result_1_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500189,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,5202,NULL
XM-DAC-46007-500189,result_1,result_1_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,NULL,0,NULL
