activity_identifier,transaction_ref,transaction_type,transaction_date,value,currency,value_date,description,description_lang,provider_org_ref,provider_org_name,provider_org_lang,provider_org_type,receiver_org_ref,receiver_org_name,receiver_org_lang,receiver_org_type,receiver_org_activity_id,disbursement_channel,flow_type,finance_type,aid_type,aid_type_vocabulary,tied_status,humanitarian
XM-DAC-46007-302302,3042/2024,3,2024-10-30,7800000,USD,2024-10-30,Desembolso,es,,,,40,,Instituto Costarricense de Acueductos y Alcantarillados (AyA),es,15,,,,,,,,
XM-DAC-46007-501151,,2,2024-11-13,300000000,USD,2024-11-13,Aprobación,es,,,,40,,Banco Centroamericano de Integración Económica,es,40,,,,,,,,
XM-DAC-46007-302441,425/2020,3,2020-08-28,49916.76,USD,2020-08-28,Desembolso,es,,,,40,,República de Nicaragua,es,10,,,,,,,,
XM-DAC-46007-302457,,2,2014-09-30,30000000,USD,2014-09-30,Aprobación,es,,,,40,,Banco Centroamericano de Integración Económica,es,40,,,,,,,,
XM-DAC-46007-500267,,2,2017-04-24,55080000,USD,2017-04-24,Aprobación,es,,,,40,,Banco Centroamericano de Integración Económica,es,40,,,,,,,,
XM-DAC-46007-500626,,2,2020-11-24,143000000,USD,2020-11-24,Aprobación,es,,,,40,,Banco Centroamericano de Integración Económica,es,40,,,,,,,,
XM-DAC-46007-301839,25/17,3,2017-02-03,707833.11,USD,2017-02-03,Desembolso,es,,,,40,,República de Guatemala,es,10,,,,,,,,
XM-DAC-46007-500189,,2,2016-07-26,20000000,USD,2016-07-26,Aprobación,es,,,,40,,Banco Centroamericano de Integración Económica,es,40,,,,,,,,
XM-DAC-46007-500270,,2,2018-12-13,79000000,USD,2018-12-13,Aprobación,es,,,,40,,Banco Centroamericano de Integración Económica,es,40,,,,,,,,
XM-DAC-46007-301839,561/18,3,2018-12-14,1888007.16,USD,2018-12-14,Desembolso,es,,,,40,,República de Guatemala,es,10,,,,,,,,
