activity_identifier,type,iso_date,narrative,narrative_lang
US-GOV-1-000-15-ASIA,1,2014-10-01,,
US-GOV-1-000-15-ASIA,2,2014-10-01,,
US-GOV-1-000-15-ASIA,3,2015-09-30,,
US-GOV-1-000-15-ASIA,4,2015-09-30,,
US-GOV-1-00008MO000188,1,2014-10-01,,
US-GOV-1-00008MO000188,2,2014-10-01,,
US-GOV-1-00008MO000188,3,2015-09-30,,
US-GOV-1-00008MO000188,4,2015-09-30,,
US-GOV-1-00008MO000192,1,2014-10-01,,
US-GOV-1-00008MO000192,2,2014-10-01,,
US-GOV-1-00008MO000192,3,2015-09-30,,
US-GOV-1-00008MO000192,4,2015-09-30,,
US-GOV-1-00008MO000194,1,2014-10-01,,
US-GOV-1-00008MO000194,2,2014-10-01,,
US-GOV-1-00008MO000194,3,2015-09-30,,
US-GOV-1-00008MO000194,4,2015-09-30,,
US-GOV-1-00008MO000195,1,2014-10-01,,
US-GOV-1-00008MO000195,2,2014-10-01,,
US-GOV-1-00008MO000195,3,2015-09-30,,
US-GOV-1-00008MO000195,4,2015-09-30,,
US-GOV-1-00008MO000197,1,2014-10-01,,
US-GOV-1-00008MO000197,2,2014-10-01,,
US-GOV-1-00008MO000197,3,2015-09-30,,
US-GOV-1-00008MO000197,4,2015-09-30,,
US-GOV-1-00022MO000378,1,2022-10-01,,
US-GOV-1-00022MO000378,2,2022-10-01,,
US-GOV-1-00022MO000378,3,2023-09-30,,
US-GOV-1-00022MO000378,4,2023-09-30,,
US-GOV-1-115-EPP-I-05-05-00010,1,2012-10-01,,
US-GOV-1-115-EPP-I-05-05-00010,2,2012-10-01,,
US-GOV-1-115-EPP-I-05-05-00010,3,2018-09-30,,
US-GOV-1-115-EPP-I-05-05-00010,4,2018-09-30,,
US-GOV-1-2940005G00420100,1,2014-10-01,,
US-GOV-1-2940005G00420100,2,2014-10-01,,
US-GOV-1-2940005G00420100,3,2015-09-30,,
US-GOV-1-2940005G00420100,4,2015-09-30,,
US-GOV-1-2940007G00400500,1,2014-10-01,,
US-GOV-1-2940007G00400500,2,2014-10-01,,
US-GOV-1-2940007G00400500,3,2015-09-30,,
US-GOV-1-2940007G00400500,4,2015-09-30,,
US-GOV-1-399-C-00-92-00356,1,2014-10-01,,
US-GOV-1-399-C-00-92-00356,2,2014-10-01,,
US-GOV-1-399-C-00-92-00356,3,2015-09-30,,
US-GOV-1-399-C-00-92-00356,4,2015-09-30,,
US-GOV-1-442-EEE-A-00-02-00041-00-5,1,2012-10-01,,
US-GOV-1-442-EEE-A-00-02-00041-00-5,2,2012-10-01,,
US-GOV-1-442-EEE-A-00-02-00041-00-5,3,2013-09-30,,
US-GOV-1-442-EEE-A-00-02-00041-00-5,4,2013-09-30,,
US-GOV-1-486-22-486-CASH-AWARD-232,1,2022-10-01,,
US-GOV-1-486-22-486-CASH-AWARD-232,2,2022-10-01,,
US-GOV-1-486-22-486-CASH-AWARD-232,3,2023-09-30,,
US-GOV-1-486-22-486-CASH-AWARD-232,4,2023-09-30,,
US-GOV-1-498-DCA-17-001,1,2016-10-01,,
US-GOV-1-498-DCA-17-001,2,2016-10-01,,
US-GOV-1-498-DCA-17-001,3,2019-09-30,,
US-GOV-1-498-DCA-17-001,4,2019-09-30,,
US-GOV-1-4990015G00254400,1,2014-10-01,,
US-GOV-1-4990015G00254400,2,2014-10-01,,
US-GOV-1-4990015G00254400,3,2015-09-30,,
US-GOV-1-4990015G00254400,4,2015-09-30,,
US-GOV-1-4990015G00256600,1,2013-10-01,,
US-GOV-1-4990015G00256600,2,2013-10-01,,
US-GOV-1-4990015G00256600,3,2014-09-30,,
US-GOV-1-4990015G00256600,4,2014-09-30,,
US-GOV-1-4990015G00355200,1,2014-10-01,,
US-GOV-1-4990015G00355200,2,2014-10-01,,
US-GOV-1-4990015G00355200,3,2015-09-30,,
US-GOV-1-4990015G00355200,4,2015-09-30,,
US-GOV-1-4990015G00510600,1,2014-10-01,,
US-GOV-1-4990015G00510600,2,2014-10-01,,
US-GOV-1-4990015G00510600,3,2015-09-30,,
