activity_identifier,contact_type,organisation,organisation_lang,department,department_lang,person_name,person_name_lang,person_name_present,job_title,job_title_lang,telephone,email,email_present,website,mailing_address,mailing_address_lang
US-GOV-1-000-15-ASIA,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-00008MO000188,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-00008MO000192,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-00008MO000194,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-00008MO000195,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-00008MO000197,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-00022MO000378,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-115-EPP-I-05-05-00010,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-2940005G00420100,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-2940007G00400500,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-399-C-00-92-00356,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-442-EEE-A-00-02-00041-00-5,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/asia-regional,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-486-22-486-CASH-AWARD-232,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-conflict-prevention-and-stabilization/program-office,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-498-DCA-17-001,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-4990015G00254400,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-4990015G00256600,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-4990015G00355200,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-4990015G00510600,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-7200AA19F00023,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-7200AA20P00017,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-7200AA21CA00017,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-7200AA23F00011,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-7200AA24GR00002,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
US-GOV-1-7200AA24P00041,1,U.S. Agency for International Development,,,,,,1,,,+1 (202) 712 4810,aidtransparency@usaid.gov,1,https://www.usaid.gov/who-we-are/organization/bureaus/bureau-asia,"1300 Pennsylvania Ave NW, Washington DC 20004",
