activity_identifier,org_ref,org_name,org_type,role,activity_id,crs_channel_code
US-GOV-1-000-15-ASIA,US-GOV-11,Department of State,10,1,,
US-GOV-1-000-15-ASIA,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-000-15-ASIA,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-000-15-ASIA,US-GOV-1,U.S. Government - U.S. Agency for International Development,10,4,,
US-GOV-1-00008MO000188,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-00008MO000188,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-00008MO000188,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-00008MO000188,US-GOV-1,U.S. Government - U.S. Agency for International Development,10,4,,
US-GOV-1-00008MO000192,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-00008MO000192,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-00008MO000192,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-00008MO000192,US-GOV-1,U.S. Government - U.S. Agency for International Development,10,4,,
US-GOV-1-00008MO000194,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-00008MO000194,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-00008MO000194,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-00008MO000194,US-GOV-1,U.S. Government - U.S. Agency for International Development,10,4,,
US-GOV-1-00008MO000195,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-00008MO000195,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-00008MO000195,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-00008MO000195,US-GOV-1,U.S. Government - U.S. Agency for International Development,10,4,,
US-GOV-1-00008MO000197,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-00008MO000197,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-00008MO000197,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-00008MO000197,US-GOV-1,U.S. Government - U.S. Agency for International Development,10,4,,
US-GOV-1-00022MO000378,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-00022MO000378,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-00022MO000378,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-00022MO000378,XM-DAC-41114,United Nations Development Programme,40,4,,
US-GOV-1-115-EPP-I-05-05-00010,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-115-EPP-I-05-05-00010,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-115-EPP-I-05-05-00010,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-115-EPP-I-05-05-00010,XI-DUNS-184033744,"Mendez England & Associates, Inc.",70,4,,
US-GOV-1-2940005G00420100,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-2940005G00420100,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-2940005G00420100,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-2940005G00420100,XM-DAC-41130,United Nations Relief and Works Agency,40,4,,
US-GOV-1-2940007G00400500,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-2940007G00400500,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-2940007G00400500,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-2940007G00400500,,U.S. Government - Other,,4,,
US-GOV-1-399-C-00-92-00356,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-399-C-00-92-00356,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-399-C-00-92-00356,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-399-C-00-92-00356,XI-DUNS-76880744,"Berger Group Holdings, Inc.",70,4,,
US-GOV-1-442-EEE-A-00-02-00041-00-5,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-442-EEE-A-00-02-00041-00-5,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-442-EEE-A-00-02-00041-00-5,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-442-EEE-A-00-02-00041-00-5,XM-DAC-61000,Enterprise - United States Other,70,4,,
US-GOV-1-486-22-486-CASH-AWARD-232,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-486-22-486-CASH-AWARD-232,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-486-22-486-CASH-AWARD-232,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-486-22-486-CASH-AWARD-232,US-GOV-1,U.S. Government - U.S. Agency for International Development,10,4,,
US-GOV-1-498-DCA-17-001,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-498-DCA-17-001,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-498-DCA-17-001,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-498-DCA-17-001,US-GOV-1,U.S. Government - U.S. Agency for International Development,10,4,,
US-GOV-1-4990015G00254400,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-4990015G00254400,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-4990015G00254400,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-4990015G00254400,US-GOV-32,U.S. Government - Environmental Protection Agency,10,4,,
US-GOV-1-4990015G00256600,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-4990015G00256600,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-4990015G00256600,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-4990015G00256600,XM-DAC-61000,Enterprise - United States Other,70,4,,
US-GOV-1-4990015G00355200,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-4990015G00355200,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-4990015G00355200,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-4990015G00355200,US-GOV-22,U.S. Government - Overseas Private Investment Corporation,10,4,,
US-GOV-1-4990015G00510600,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-4990015G00510600,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-4990015G00510600,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-4990015G00510600,US-GOV-9,U.S. Government - Department of Interior,10,4,,
US-GOV-1-7200AA19F00023,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-7200AA19F00023,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-7200AA19F00023,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-7200AA19F00023,,nan,70,4,,
US-GOV-1-7200AA20P00017,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-7200AA20P00017,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-7200AA20P00017,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-7200AA20P00017,XI-DUNS-602035727,Center for Strategic and International Studies,22,4,,
US-GOV-1-7200AA21CA00017,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-7200AA21CA00017,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-7200AA21CA00017,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-7200AA21CA00017,,World Wildlife Fund,22,4,,
US-GOV-1-7200AA23F00011,US-GOV-11,Department of State,10,1,,
US-GOV-1-7200AA23F00011,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-7200AA23F00011,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-7200AA23F00011,,Global Integrity,70,4,,
US-GOV-1-7200AA24GR00002,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-7200AA24GR00002,US-GOV-1,U.S. Agency for International Development,10,2,,
