activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_value,baseline_comment
44000-P145054,result_2,indicator_3,1,1,,"
Number of staff receiving knowledge transfer on HVDC technology/ Transmission Dispatch
					",,2014,,
44000-P145054,result_2,indicator_3,1,1,,"
Converter stations constructed under the Project
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Timely Audits carried out of Entity Financial Statements within 9 months of the closure of the financial year - Pakistan and Afghanistan
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Institutional mechanism for project sustainability is in place
					",,2014,,
44000-P145054,result_2,indicator_3,1,1,,"
HVAC line between the Kyrgyz Republic and Tajikistan constructed under the Project
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Development of operations manual for the Community Support Programs
					",,2014,,
44000-P145054,result_2,indicator_3,1,1,,"
Number of staff receiving knowledge transfer on HVDC technology/ Transmission Dispatch
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Trade initiated between the participating countries
					",,2014,,
44000-P145054,result_2,indicator_3,1,1,,"
Converter stations constructed under the Project
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Commercial framework between the countries is established and operational
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Construction contracts signed for HVDC converter stations
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Owner's Engineer hired and in place
					",,2014,,
44000-P145054,result_2,indicator_3,1,1,,"
Transmission lines constructed or rehabilitated under the project
					",,2014,,
44000-P145054,result_2,indicator_3,1,1,,"
Indirect Project Beneficiaries
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Construction contracts signed for HVDC converter stations
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Construction contracts signed for HVDC line
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Agreement on financing of Community Support Programs for operations phase
					",,2014,,
44000-P145054,result_2,indicator_3,1,1,,"
HVDC line constructed under the Project
					",,2014,,
44000-P145054,result_2,indicator_3,1,1,,"
Transmission lines constructed or rehabilitated under the project
					",,2014,,
44000-P145054,result_2,indicator_3,1,1,,"
HVDC line constructed under the Project
					",,2014,,
44000-P145054,result_2,indicator_3,1,1,,"
HVAC line between the Kyrgyz Republic and Tajikistan constructed under the Project
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Trade initiated between the participating countries
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Construction contracts signed for HVDC line
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Development of operations manual for the Community Support Programs
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Commercial framework between the countries is established and operational
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Agreement on financing of Community Support Programs for operations phase
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Timely Audits carried out of Entity Financial Statements within 9 months of the closure of financial year - Tajikistan and Kyrgyz Republic
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Owner's Engineer hired and in place
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Timely Audits carried out of Entity Financial Statements within 9 months of the closure of financial year - Tajikistan and Kyrgyz Republic
					",,2014,,
44000-P145054,result_2,indicator_3,1,1,,"
Indirect Project Beneficiaries
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Institutional mechanism for project sustainability is in place
					",,2014,,
44000-P145054,result_2,indicator_3,5,1,,"
Timely Audits carried out of Entity Financial Statements within 9 months of the closure of the financial year - Pakistan and Afghanistan
					",,2014,,
44000-P171269,result_2,indicator_3,1,1,,"
IR2.4: Consultations on marine litter actions carried out with targeted people and/or organizations in participating countries
					",,2020,,
44000-P171269,result_2,indicator_3,1,1,,"
IR2.3: National policies  reviewed with recommendations for revisions and/or action plans (disaggregated country)
					",,2020,,
44000-P171269,result_2,indicator_3,5,1,,"
IR2.1: Regional public and private engagement mechanism branded and operational
					",,2020,,
