activity_identifier,location_ref,location_reach,location_id_vocabulary,location_id_code,name,description,activity_description,latitude,longitude,exactness,location_class,feature_designation,administrative_vocabulary,administrative_level,administrative_code,administrative_country
44000-P145054,,,G1,0001131054,Parwan,,,35,68.916672,,,,,,,
44000-P145054,,,G1,0001132366,Nangarhar,,,34.333328,70.416672,,,,,,,
44000-P145054,,,G1,0001135022,Wilayat-e Laghman,,,34.783329,70.183327,,,,,,,
44000-P145054,,,G1,0001135690,Kunduz,,,36.75,68.75,,,,,,,
44000-P145054,,,G1,0001138957,Wilayat-e Kabul,,,34.5,69.416672,,,,,,,
44000-P145054,,,G1,0001147537,Wilayat-e Baghlan,,,35.75,69,,,,,,,
44000-P145054,,,G1,0001168197, Peshawar,,,34.007999,71.578491,,,,,,,
44000-P145054,,,G1,0001179245,Federally Administered Tribal Areas,,,33.014549,69.999252,,,,,,,
44000-P145054,,,G1,0001221092,Viloyati Sughd,,,40,69,,,,,,,
44000-P145054,,,G1,0001346798,Osh Oblasty,,,40,73,,,,,,,
44000-P145054,,,G1,0001347488,Viloyati Khatlon,,,37.833328,69,,,,,,,
44000-P145054,,,G1,0001463580,Batken Oblasty,,,39.833328,71,,,,,,,
44000-P145054,,,G1,0001529778,Jalal-Abad Oblasty,,,41.5,72.5,,,,,,,
44000-P126193,,,G1,0001252634,Kingdom of Bhutan,,,27.5,90.5,,,,,,,
44000-P121210,,,G1,0001210997,Bangladesh,,,24,90,,,,,,,
44000-P121210,,,G1,0001282988,Federal Democratic Republic of Nepal,,,28,84,,,,,,,
44000-P171269,,,G1,0001149361,Islamic Republic of Afghanistan,,,33,66,,,,,,,
44000-P171269,,,G1,0001168579,Islamic Republic of Pakistan,,,30,70,,,,,,,
44000-P171269,,,G1,0001210997,Bangladesh,,,24,90,,,,,,,
44000-P171269,,,G1,0001227603,Democratic Socialist Republic of Sri Lanka,,,7.75,80.75,,,,,,,
44000-P171269,,,G1,0001252634,Kingdom of Bhutan,,,27.5,90.5,,,,,,,
44000-P171269,,,G1,0001269750,Republic of India,,,22,79,,,,,,,
44000-P171269,,,G1,0001282028,Republic of Maldives,,,3.2,73,,,,,,,
44000-P171269,,,G1,0001282988,Federal Democratic Republic of Nepal,,,28,84,,,,,,,
44000-P171054,,,G1,0001149361,Islamic Republic of Afghanistan,,,33,66,,,,,,,
44000-P171054,,,G1,0001168579,Islamic Republic of Pakistan,,,30,70,,,,,,,
44000-P171054,,,G1,0001210997,Bangladesh,,,24,90,,,,,,,
44000-P171054,,,G1,0001227603,Democratic Socialist Republic of Sri Lanka,,,7.75,80.75,,,,,,,
44000-P171054,,,G1,0001269750,Republic of India,,,22,79,,,,,,,
44000-P171054,,,G1,0001282028,Republic of Maldives,,,3.2,73,,,,,,,
44000-P171054,,,G1,0001282988,Federal Democratic Republic of Nepal,,,28,84,,,,,,,
44000-P171054,,,G1,0001605651,Kingdom of Thailand,,,15.5,101,,,,,,,
