activity_identifier,result_ref,result_type,aggregation_status,title,description
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P145054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P145054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171269,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_2,2,0,"
ProjectÂ DevelopmentÂ Objectives 
				",
44000-P171054,result_2,1,0,"
 Intermediate Results Indicator 
				",
44000-P171054,result_2,1,0,"
 Intermediate Results Indicator 
				",
