activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
44000-P145054,23630,,1,,100
44000-P145054,LT,FY17 - Energy Transmission and Distribution,99,http://pubdocs.worldbank.org/en/538321490128452070/Sector-Taxonomy-and-definitions.pdf,100.000000
44000-P145054,000025,Regional Integration,98,http://pubdocs.worldbank.org/en/275841490966525495/Theme-Taxonomy-and-definitions.pdf,50
44000-P145054,000072,Rural Development,98,http://pubdocs.worldbank.org/en/275841490966525495/Theme-Taxonomy-and-definitions.pdf,10
44000-P145054,000221,Job Creation,98,http://pubdocs.worldbank.org/en/275841490966525495/Theme-Taxonomy-and-definitions.pdf,10
44000-P145054,000711,Urban Infrastructure and Service Delivery,98,http://pubdocs.worldbank.org/en/275841490966525495/Theme-Taxonomy-and-definitions.pdf,10
44000-P145054,000723,Rural Infrastructure and service delivery,98,http://pubdocs.worldbank.org/en/275841490966525495/Theme-Taxonomy-and-definitions.pdf,10
44000-P145054,000022,Jobs,98,http://pubdocs.worldbank.org/en/275841490966525495/Theme-Taxonomy-and-definitions.pdf,10
44000-P145054,000081,Climate change,98,http://pubdocs.worldbank.org/en/275841490966525495/Theme-Taxonomy-and-definitions.pdf,20
44000-P145054,000071,Urban Development,98,http://pubdocs.worldbank.org/en/275841490966525495/Theme-Taxonomy-and-definitions.pdf,10
44000-P145054,000811,Mitigation,98,http://pubdocs.worldbank.org/en/275841490966525495/Theme-Taxonomy-and-definitions.pdf,20
44000-P126193,41010,,1,,50
44000-P126193,41030,,1,,50
44000-P126193,AZ,"FY17 - Other Agriculture, Fishing and Forestry",99,http://pubdocs.worldbank.org/en/538321490128452070/Sector-Taxonomy-and-definitions.pdf,94.0000000
44000-P126193,AK,"FY17 - Public Administration - Agriculture, Fishing & Forestry",99,http://pubdocs.worldbank.org/en/538321490128452070/Sector-Taxonomy-and-definitions.pdf,6.00000000
44000-P126193,000022,Jobs,98,http://pubdocs.worldbank.org/en/275841490966525495/Theme-Taxonomy-and-definitions.pdf,100
44000-P126193,000083,Renewable Natural Resources Asset Management,98,http://pubdocs.worldbank.org/en/275841490966525495/Theme-Taxonomy-and-definitions.pdf,96
