activity_identifier,type,iso_date,narrative,narrative_lang
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,1,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,3,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,2,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,4,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,1,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,3,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,2,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,4,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,1,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,3,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,2,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,4,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,1,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,3,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,2,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,4,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,1,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,3,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,2,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,4,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,1,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,3,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,2,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,4,2017-12-31,12/31/2017 12:00:00 AM,en
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,1,2016-01-01,1/1/2016 12:00:00 AM,en
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,3,2017-12-31,12/31/2017 12:00:00 AM,en
