activity_identifier,budget_type,budget_status,period_start,period_end,value,currency,value_date
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,1,2,2016-01-01,2016-03-31,14155.0825000000,USD,2016-01-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,1,2,2016-04-01,2016-06-30,14155.0825000000,USD,2016-04-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,1,2,2016-07-01,2016-09-30,14155.0825000000,USD,2016-07-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,1,2,2016-10-01,2016-12-31,14155.0825000000,USD,2016-10-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,1,2,2017-01-01,2017-03-31,14155.0825000000,USD,2017-01-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,1,2,2017-04-01,2017-06-30,14155.0825000000,USD,2017-04-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,1,2,2017-07-01,2017-09-30,14155.0825000000,USD,2017-07-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,1,2,2017-10-01,2017-12-31,14155.0825000000,USD,2017-10-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,1,2,2016-01-01,2016-03-31,1859.5337500000,USD,2016-01-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,1,2,2016-04-01,2016-06-30,1859.5337500000,USD,2016-04-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,1,2,2016-07-01,2016-09-30,1859.5337500000,USD,2016-07-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,1,2,2016-10-01,2016-12-31,1859.5337500000,USD,2016-10-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,1,2,2017-01-01,2017-03-31,1859.5337500000,USD,2017-01-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,1,2,2017-04-01,2017-06-30,1859.5337500000,USD,2017-04-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,1,2,2017-07-01,2017-09-30,1859.5337500000,USD,2017-07-01
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,1,2,2017-10-01,2017-12-31,1859.5337500000,USD,2017-10-01
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,1,2,2016-01-01,2016-03-31,5964.0187500000,USD,2016-01-01
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,1,2,2016-04-01,2016-06-30,5964.0187500000,USD,2016-04-01
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,1,2,2016-07-01,2016-09-30,5964.0187500000,USD,2016-07-01
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,1,2,2016-10-01,2016-12-31,5964.0187500000,USD,2016-10-01
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,1,2,2017-01-01,2017-03-31,5964.0187500000,USD,2017-01-01
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,1,2,2017-04-01,2017-06-30,5964.0187500000,USD,2017-04-01
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,1,2,2017-07-01,2017-09-30,5964.0187500000,USD,2017-07-01
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,1,2,2017-10-01,2017-12-31,5964.0187500000,USD,2017-10-01
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,1,2,2016-01-01,2016-03-31,5832.9600000000,USD,2016-01-01
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,1,2,2016-04-01,2016-06-30,5832.9600000000,USD,2016-04-01
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,1,2,2016-07-01,2016-09-30,5832.9600000000,USD,2016-07-01
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,1,2,2016-10-01,2016-12-31,5832.9600000000,USD,2016-10-01
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,1,2,2017-01-01,2017-03-31,5832.9600000000,USD,2017-01-01
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,1,2,2017-04-01,2017-06-30,5832.9600000000,USD,2017-04-01
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,1,2,2017-07-01,2017-09-30,5832.9600000000,USD,2017-07-01
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,1,2,2017-10-01,2017-12-31,5832.9600000000,USD,2017-10-01
