activity_identifier,vocabulary,budget_item_code,budget_item_percentage,description,description_lang
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-02.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-03.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-03.004.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-03.005.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-04.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-04.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-04.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-04.004.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-04.004.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-05.005.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-06.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-06.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-06.004.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-06.004.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
