activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,13040,,1,,100.0000000000
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,13040,,1,,100.0000000000
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,12263,,1,,100.0000000000
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,12262,,1,,100.0000000000
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,12250,,1,,100.0000000000
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,12250,,1,,100.0000000000
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,12350,,1,,100.0000000000
XM-DAC-928-AR-2016-17-02.002.AM01.ARG02,12310,,1,,100.0000000000
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,13020,,1,,100.0000000000
XM-DAC-928-AR-2016-17-03.003.AM01.ARG01,12110,,1,,100.0000000000
XM-DAC-928-AR-2016-17-03.004.AM01.ARG01,12110,,1,,100.0000000000
XM-DAC-928-AR-2016-17-03.005.AM01.ARG02,12110,,1,,100.0000000000
XM-DAC-928-AR-2016-17-04.001.AM01.ARG01,12110,,1,,100.0000000000
XM-DAC-928-AR-2016-17-04.002.AM01.ARG02,12281,,1,,100.0000000000
XM-DAC-928-AR-2016-17-04.003.AM01.ARG01,12220,,1,,100.0000000000
XM-DAC-928-AR-2016-17-04.004.AM01.ARG02,12182,,1,,100.0000000000
XM-DAC-928-AR-2016-17-04.004.AM01.ARG03,12182,,1,,100.0000000000
XM-DAC-928-AR-2016-17-05.005.AM01.ARG04,12250,,1,,100.0000000000
XM-DAC-928-AR-2016-17-06.001.AM01.ARG01,12110,,1,,100.0000000000
XM-DAC-928-AR-2016-17-06.001.AM01.ARG02,12110,,1,,100.0000000000
XM-DAC-928-AR-2016-17-06.004.AM01.ARG01,12110,,1,,100.0000000000
XM-DAC-928-AR-2016-17-06.004.AM01.ARG02,12110,,1,,100.0000000000
XM-DAC-928-AR-2016-17-06.004.AM01.ARG03,12110,,1,,100.0000000000
XM-DAC-928-AR-2016-17-06.004.AM01.ARG04,12110,,1,,100.0000000000
XM-DAC-928-AR-2016-17-06.005.AM01.ARG02,12181,,1,,100.0000000000
XM-DAC-928-AR-2018-19-01.001.AM01.ARG01,13040,,1,,100.0000000000
XM-DAC-928-AR-2018-19-01.001.AM01.ARG02,13040,,1,,100.0000000000
XM-DAC-928-AR-2018-19-01.002.AM01.ARG01,12263,,1,,100.0000000000
XM-DAC-928-AR-2018-19-01.002.AM01.ARG02,12263,,1,,100.0000000000
XM-DAC-928-AR-2018-19-01.003.AM01.ARG01,12262,,1,,100.0000000000
XM-DAC-928-AR-2018-19-01.003.AM01.ARG02,12262,,1,,100.0000000000
XM-DAC-928-AR-2018-19-01.004.AM01.ARG01,12250,,1,,100.0000000000
XM-DAC-928-AR-2018-19-01.005.AM01.ARG02,12250,,1,,100.0000000000
XM-DAC-928-AR-2018-19-01.006.AM01.ARG02,12220,,1,,100.0000000000
XM-DAC-928-AR-2018-19-02.001.AM01.ARG01,12350,,1,,100.0000000000
XM-DAC-928-AR-2018-19-02.001.AM01.ARG02,12350,,1,,100.0000000000
XM-DAC-928-AR-2018-19-02.002.AM01.ARG02,12340,,1,,100.0000000000
XM-DAC-928-AR-2018-19-02.002.AM01.ARG03,12330,,1,,100.0000000000
XM-DAC-928-AR-2018-19-02.003.AM01.ARG01,12310,,1,,100.0000000000
XM-DAC-928-AR-2018-19-02.004.AM01.ARG01,12310,,1,,100.0000000000
XM-DAC-928-AR-2018-19-03.001.AM01.ARG04,13020,,1,,100.0000000000
XM-DAC-928-AR-2018-19-03.001.AM01.ARG05,13020,,1,,100.0000000000
XM-DAC-928-AR-2018-19-03.005.AM01.ARG01,12110,,1,,100.0000000000
XM-DAC-928-AR-2018-19-03.005.AM01.ARG03,12110,,1,,100.0000000000
XM-DAC-928-AR-2018-19-03.006.AM01.ARG01,12110,,1,,100.0000000000
XM-DAC-928-AR-2018-19-03.006.AM01.ARG02,12110,,1,,100.0000000000
XM-DAC-928-AR-2018-19-04.001.AM01.ARG01,12110,,1,,100.0000000000
XM-DAC-928-AR-2018-19-04.002.AM01.ARG01,12281,,1,,100.0000000000
XM-DAC-928-AR-2018-19-04.003.AM01.ARG01,12220,,1,,100.0000000000
XM-DAC-928-AR-2018-19-04.004.AM01.ARG01,12182,,1,,100.0000000000
