activity_identifier,transaction_ref,transaction_type,transaction_date,value,currency,value_date,description,provider_org_ref,provider_org_name,provider_org_type,receiver_org_ref,receiver_org_name,receiver_org_type,receiver_org_activity_id,disbursement_channel,flow_type,finance_type,aid_type,tied_status,humanitarian,recipient_region
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,,2,2016-01-01,113240.6600000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,,11,2016-01-01,86071.4000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,,11,2016-01-01,19374.3000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,,4,2017-12-31,57663.6000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,,4,2017-12-31,23435.3000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,,4,2017-12-31,73.5000,USD,2017-12-31,Medical supplies and materials,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,,4,2017-12-31,24052.6000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,,2,2016-01-01,14876.2700000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,,11,2016-01-01,13852.3000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,,4,2017-12-31,6677.6000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,,4,2017-12-31,5334.5000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,,4,2017-12-31,1840.1000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,,2,2016-01-01,47712.1500000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,,11,2016-01-01,21015.0000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,,11,2016-01-01,23412.9000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,,4,2017-12-31,18512.6000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,,4,2017-12-31,6756.3000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,,4,2017-12-31,19119.5000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,,2,2016-01-01,46663.6800000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,,11,2016-01-01,43451.6000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,,4,2017-12-31,80.4000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,,4,2017-12-31,10.3000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,,4,2017-12-31,24791.9000,USD,2017-12-31,Staff and other personnel costs,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,,4,2017-12-31,18569.0000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,,2,2016-01-01,35096.1000000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,,11,2016-01-01,14796.3000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,,11,2016-01-01,17884.0000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,,4,2017-12-31,14314.8000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,,4,2017-12-31,6311.2000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,,4,2017-12-31,867.7000,USD,2017-12-31,Medical supplies and materials,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,,4,2017-12-31,11130.6000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,2,2016-01-01,128179.9100000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,11,2016-01-01,99815.2000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,11,2016-01-01,4000.0000,USD,2016-01-01,,US-USAGOV,"Centers for Disease Control and Prevention (CDC), United States of America",10,XM-DAC-928,World Health Organization,40,,,20,,4,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,11,2016-01-01,1000.0000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,11,2016-01-01,15000.0000,USD,2016-01-01,,,United Nations Fund for International Partnerships (UNFIP),,XM-DAC-928,World Health Organization,40,,,50,,4,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,4,2017-12-31,92603.8000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,4,2017-12-31,9546.8000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,4,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,4,2017-12-31,9.1000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,4,2017-12-31,2711.2000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,4,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,4,2017-12-31,463.3000,USD,2017-12-31,Medical supplies and materials,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,4,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,4,2017-12-31,5819.7000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,4,,,
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,4,2017-12-31,7858.1000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,,2,2016-01-01,174849.2700000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,,11,2016-01-01,50000.0000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,,11,2016-01-01,35027.7000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,,4,2017-12-31,33929.2000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,,4,2017-12-31,36802.7000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,,4,2017-12-31,772.7000,USD,2017-12-31,Medical supplies and materials,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,,4,2017-12-31,12670.4000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-02.002.AM01.ARG02,,2,2016-01-01,46305.1400000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-02.002.AM01.ARG02,,11,2016-01-01,22212.2000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-02.002.AM01.ARG02,,4,2017-12-31,16732.5000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-02.002.AM01.ARG02,,4,2017-12-31,1306.1000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-02.002.AM01.ARG02,,4,2017-12-31,346.2000,USD,2017-12-31,Medical supplies and materials,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-02.002.AM01.ARG02,,4,2017-12-31,3827.4000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,,2,2016-01-01,214906.3000000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,,11,2016-01-01,55283.3000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,,11,2016-01-01,48985.4000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,,4,2017-12-31,46623.7000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,,4,2017-12-31,6404.7000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,,4,2017-12-31,260.0000,USD,2017-12-31,Medical supplies and materials,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,,3,2017-12-31,13699.8000,USD,2017-12-31,Transfers and grants to counterparts,XM-DAC-928,World Health Organization,40,,,,,,,,1,,,
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,,4,2017-12-31,36971.0000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-03.003.AM01.ARG01,,2,2016-01-01,215615.2100000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-03.003.AM01.ARG01,,11,2016-01-01,104612.7000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-03.003.AM01.ARG01,,4,2017-12-31,54173.8000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-03.003.AM01.ARG01,,4,2017-12-31,1495.3000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-03.003.AM01.ARG01,,4,2017-12-31,65.4000,USD,2017-12-31,Medical supplies and materials,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-03.003.AM01.ARG01,,3,2017-12-31,6457.2000,USD,2017-12-31,Transfers and grants to counterparts,XM-DAC-928,World Health Organization,40,,,,,,,,1,,,
XM-DAC-928-AR-2016-17-03.003.AM01.ARG01,,4,2017-12-31,42420.9000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-03.004.AM01.ARG01,,2,2016-01-01,45474.7400000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-03.004.AM01.ARG01,,11,2016-01-01,5008.9000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-03.004.AM01.ARG01,,11,2016-01-01,17054.7000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-03.004.AM01.ARG01,,4,2017-12-31,21417.9000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-03.004.AM01.ARG01,,4,2017-12-31,645.7000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-03.005.AM01.ARG02,,2,2016-01-01,5237.7800000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-03.005.AM01.ARG02,,11,2016-01-01,2541.3000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-03.005.AM01.ARG02,,4,2017-12-31,2515.3000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
