activity_identifier,type,iso_date,narrative,narrative_lang
44000-P145054,1,2013-12-19,Planned start date of the activity,
44000-P145054,2,2014-03-27,Actual start date of the activity,
44000-P145054,3,2028-12-31,Planned end date of the activity,
44000-P145054,4,2028-12-31,Actual end date of the activity,
44000-P126193,1,2011-05-31,Planned start date of the activity,
44000-P126193,2,2011-06-17,Actual start date of the activity,
44000-P126193,3,2016-08-31,Planned end date of the activity,
44000-P126193,4,2016-08-31,Actual end date of the activity,
44000-P121210,1,2011-06-15,Planned start date of the activity,
44000-P121210,2,2011-04-07,Actual start date of the activity,
44000-P121210,3,2016-12-31,Planned end date of the activity,
44000-P121210,4,2016-12-31,Actual end date of the activity,
44000-P171269,1,2020-05-15,Planned start date of the activity,
44000-P171269,2,2020-05-29,Actual start date of the activity,
44000-P171269,3,2025-07-31,Planned end date of the activity,
44000-P171269,4,2025-07-31,Actual end date of the activity,
44000-P171054,1,2020-05-12,Planned start date of the activity,
44000-P171054,2,2020-05-12,Actual start date of the activity,
44000-P171054,3,2025-08-05,Planned end date of the activity,
44000-P171054,4,2025-08-05,Actual end date of the activity,
