activity_identifier,result_ref,indicator_ref,period_start,period_end,target_value,target_comment,actual_value,actual_comment
44000-P145054,result_1,indicator_44000-P145054_result_1_1,2014-01-30,2025-12-31,40.00,,20.00,
44000-P145054,result_2,indicator_44000-P145054_result_2_1,2014-01-30,2024-03-31,2.00,,0.00,
44000-P145054,result_3,indicator_44000-P145054_result_3_1,2014-01-30,2025-12-31,Yes,,Yes,
44000-P145054,result_4,indicator_44000-P145054_result_4_1,2014-01-30,2025-12-31,IGC and JWG meetings held,,The Inter-Governmental Council (IGC) Secretariat and Joint Working Group (JWG) continue to meet enacting decisions to advance project activities.,
44000-P145054,result_5,indicator_44000-P145054_result_5_1,2014-01-30,2025-12-31,455.00,,0.00,
44000-P145054,result_6,indicator_44000-P145054_result_6_1,2014-01-30,2023-03-31,Yes,,Yes,
44000-P145054,result_7,indicator_44000-P145054_result_7_1,2014-01-30,2025-12-31,40.00,,10.00,
44000-P145054,result_8,indicator_44000-P145054_result_8_1,2014-01-01,2025-12-31,Yes,,No,
44000-P145054,result_9,indicator_44000-P145054_result_9_1,2014-01-30,2024-03-31,2.00,,0.00,
44000-P145054,result_10,indicator_44000-P145054_result_10_1,2014-01-01,2023-09-29,"All Core Project agreements including Account Bank, Technical Code finalized",,PPAs and MA signed and are effective,
44000-P145054,result_11,indicator_44000-P145054_result_11_1,2014-01-30,2023-03-31,Yes,,Yes,
44000-P145054,result_12,indicator_44000-P145054_result_12_1,2014-01-30,2025-12-31,Yes,,Yes,
44000-P145054,result_13,indicator_44000-P145054_result_13_1,2014-01-30,2025-12-31,"1,300.00",,0.00,
44000-P145054,result_14,indicator_44000-P145054_result_14_1,2014-01-30,2025-12-31,"30,000,000.00",,0.00,
44000-P145054,result_15,indicator_44000-P145054_result_15_1,2014-01-30,2023-03-31,Yes,,Yes,
44000-P145054,result_16,indicator_44000-P145054_result_16_1,2014-01-30,2023-03-31,Yes,,Yes,
44000-P145054,result_17,indicator_44000-P145054_result_17_1,2014-01-30,2023-03-31,Yes,,Yes,
44000-P145054,result_18,indicator_44000-P145054_result_18_1,2014-01-30,2025-03-31,750.00,,0.00,
44000-P145054,result_19,indicator_44000-P145054_result_19_1,2014-01-30,2025-12-31,"1,300.00",,0.00,
