activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
44000-P145054,result_1,indicator_44000-P145054_result_1_1,1,1,,Number of staff receiving knowledge transfer on HVDC technology/ Transmission Dispatch,,2014,2014-01-30,0.00,
44000-P145054,result_2,indicator_44000-P145054_result_2_1,1,1,,Converter stations constructed under the Project,,2014,2014-01-30,0.00,
44000-P145054,result_3,indicator_44000-P145054_result_3_1,5,1,,Timely Audits carried out of Entity Financial Statements within 9 months of the closure of the financial year - Pakistan and Afghanistan,,2014,2014-01-30,No,
44000-P145054,result_4,indicator_44000-P145054_result_4_1,5,1,,Institutional mechanism for project sustainability is in place,,2014,2014-01-30,IGC Secretariat and JWG established,
44000-P145054,result_5,indicator_44000-P145054_result_5_1,1,1,,HVAC line between the Kyrgyz Republic and Tajikistan constructed under the Project,,2014,2014-01-30,0.00,
44000-P145054,result_6,indicator_44000-P145054_result_6_1,5,1,,Development of operations manual for the Community Support Programs,,2014,2014-01-30,No,
44000-P145054,result_7,indicator_44000-P145054_result_7_1,1,1,,Number of staff receiving knowledge transfer on HVDC technology/ Transmission Dispatch,,2014,2014-01-30,0.00,
44000-P145054,result_8,indicator_44000-P145054_result_8_1,5,1,,Trade initiated between the participating countries,,2014,2014-01-01,No,
44000-P145054,result_9,indicator_44000-P145054_result_9_1,1,1,,Converter stations constructed under the Project,,2014,2014-01-30,0.00,
44000-P145054,result_10,indicator_44000-P145054_result_10_1,5,1,,Commercial framework between the countries is established and operational,,2014,2014-01-01,Not established,
44000-P145054,result_11,indicator_44000-P145054_result_11_1,5,1,,Construction contracts signed for HVDC converter stations,,2014,2014-01-30,No,
44000-P145054,result_12,indicator_44000-P145054_result_12_1,5,1,,Owner's Engineer hired and in place,,2014,2014-01-30,No,
44000-P145054,result_13,indicator_44000-P145054_result_13_1,1,1,,Transmission lines constructed or rehabilitated under the project,,2014,2014-01-30,0.00,
44000-P145054,result_14,indicator_44000-P145054_result_14_1,1,1,,Indirect Project Beneficiaries,,2014,2014-01-30,0.00,
44000-P145054,result_15,indicator_44000-P145054_result_15_1,5,1,,Construction contracts signed for HVDC converter stations,,2014,2014-01-30,No,
44000-P145054,result_16,indicator_44000-P145054_result_16_1,5,1,,Construction contracts signed for HVDC line,,2014,2014-01-30,No,
44000-P145054,result_17,indicator_44000-P145054_result_17_1,5,1,,Agreement on financing of Community Support Programs for operations phase,,2014,2014-01-30,No,
44000-P145054,result_18,indicator_44000-P145054_result_18_1,1,1,,HVDC line constructed under the Project,,2014,2014-01-30,0.00,
44000-P145054,result_19,indicator_44000-P145054_result_19_1,1,1,,Transmission lines constructed or rehabilitated under the project,,2014,2014-01-30,0.00,
44000-P145054,result_20,indicator_44000-P145054_result_20_1,1,1,,HVDC line constructed under the Project,,2014,2014-01-30,0.00,
44000-P145054,result_21,indicator_44000-P145054_result_21_1,1,1,,HVAC line between the Kyrgyz Republic and Tajikistan constructed under the Project,,2014,2014-01-30,0.00,
44000-P145054,result_22,indicator_44000-P145054_result_22_1,5,1,,Trade initiated between the participating countries,,2014,2014-01-01,No,
44000-P145054,result_23,indicator_44000-P145054_result_23_1,5,1,,Construction contracts signed for HVDC line,,2014,2014-01-30,No,
44000-P145054,result_24,indicator_44000-P145054_result_24_1,5,1,,Development of operations manual for the Community Support Programs,,2014,2014-01-30,No,
44000-P145054,result_25,indicator_44000-P145054_result_25_1,5,1,,Commercial framework between the countries is established and operational,,2014,2014-01-01,Not established,
44000-P145054,result_26,indicator_44000-P145054_result_26_1,5,1,,Agreement on financing of Community Support Programs for operations phase,,2014,2014-01-30,No,
44000-P145054,result_27,indicator_44000-P145054_result_27_1,5,1,,Timely Audits carried out of Entity Financial Statements within 9 months of the closure of financial year - Tajikistan and Kyrgyz Republic,,2014,2014-01-30,No,
44000-P145054,result_28,indicator_44000-P145054_result_28_1,5,1,,Owner's Engineer hired and in place,,2014,2014-01-30,No,
44000-P145054,result_29,indicator_44000-P145054_result_29_1,5,1,,Timely Audits carried out of Entity Financial Statements within 9 months of the closure of financial year - Tajikistan and Kyrgyz Republic,,2014,2014-01-30,No,
44000-P145054,result_30,indicator_44000-P145054_result_30_1,1,1,,Indirect Project Beneficiaries,,2014,2014-01-30,0.00,
44000-P145054,result_31,indicator_44000-P145054_result_31_1,5,1,,Institutional mechanism for project sustainability is in place,,2014,2014-01-30,IGC Secretariat and JWG established,
44000-P145054,result_32,indicator_44000-P145054_result_32_1,5,1,,Timely Audits carried out of Entity Financial Statements within 9 months of the closure of the financial year - Pakistan and Afghanistan,,2014,2014-01-30,No,
44000-P171269,result_1,indicator_44000-P171269_result_1_1,1,1,,IR2.4: Consultations on marine litter actions carried out with targeted people and/or organizations in participating countries,,2020,2020-04-09,0.00,
44000-P171269,result_2,indicator_44000-P171269_result_2_1,1,1,,IR2.3: National policies  reviewed with recommendations for revisions and/or action plans (disaggregated country),,2020,2020-04-09,0.00,
