activity_identifier,result_ref,indicator_ref,period_start,period_end,target_value,target_comment,actual_value,actual_comment
US-EIN-521257057-US-EIN-521257057,result_1,indicator_US-EIN-521257057-US-EIN-521257057_result_1_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_1,indicator_US-EIN-521257057-US-EIN-521257057_result_1_2,2022-10-01,2023-09-30,,,2,
US-EIN-521257057-US-EIN-521257057,result_2,indicator_US-EIN-521257057-US-EIN-521257057_result_2_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_3,indicator_US-EIN-521257057-US-EIN-521257057_result_3_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_4,indicator_US-EIN-521257057-US-EIN-521257057_result_4_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_5,indicator_US-EIN-521257057-US-EIN-521257057_result_5_1,2022-10-01,2023-09-30,,,2,
US-EIN-521257057-US-EIN-521257057,result_5,indicator_US-EIN-521257057-US-EIN-521257057_result_5_2,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_5,indicator_US-EIN-521257057-US-EIN-521257057_result_5_3,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_5,indicator_US-EIN-521257057-US-EIN-521257057_result_5_4,2022-10-01,2023-09-30,,,2,
US-EIN-521257057-US-EIN-521257057,result_6,indicator_US-EIN-521257057-US-EIN-521257057_result_6_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_7,indicator_US-EIN-521257057-US-EIN-521257057_result_7_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_8,indicator_US-EIN-521257057-US-EIN-521257057_result_8_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_8,indicator_US-EIN-521257057-US-EIN-521257057_result_8_2,2022-10-01,2023-09-30,,,2,
US-EIN-521257057-US-EIN-521257057,result_9,indicator_US-EIN-521257057-US-EIN-521257057_result_9_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_10,indicator_US-EIN-521257057-US-EIN-521257057_result_10_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_10,indicator_US-EIN-521257057-US-EIN-521257057_result_10_2,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_11,indicator_US-EIN-521257057-US-EIN-521257057_result_11_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_12,indicator_US-EIN-521257057-US-EIN-521257057_result_12_1,2022-10-01,2023-09-30,,,2,
US-EIN-521257057-US-EIN-521257057,result_12,indicator_US-EIN-521257057-US-EIN-521257057_result_12_2,2022-10-01,2023-09-30,,,2,
US-EIN-521257057-US-EIN-521257057,result_13,indicator_US-EIN-521257057-US-EIN-521257057_result_13_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_14,indicator_US-EIN-521257057-US-EIN-521257057_result_14_1,2022-10-01,2023-09-30,,,3,
US-EIN-521257057-US-EIN-521257057,result_15,indicator_US-EIN-521257057-US-EIN-521257057_result_15_1,2022-10-01,2023-09-30,,,2,
US-EIN-521257057-US-EIN-521257057,result_15,indicator_US-EIN-521257057-US-EIN-521257057_result_15_2,2022-10-01,2023-09-30,,,2,
US-EIN-521257057-US-EIN-521257057,result_16,indicator_US-EIN-521257057-US-EIN-521257057_result_16_1,2022-10-01,2023-09-30,,,2,
