activity_identifier,result_ref,result_type,aggregation_status,title,description
US-EIN-521257057-US-EIN-521257057,result_1,2,true,Protect: Marine Ecosystems,
US-EIN-521257057-US-EIN-521257057,result_2,2,true,"Reduce: Food, Loss & Waste",
US-EIN-521257057-US-EIN-521257057,result_3,2,true,Reduce: Shifting diets,
US-EIN-521257057-US-EIN-521257057,result_4,2,true,[Legacy] Reduce: Water,
US-EIN-521257057-US-EIN-521257057,result_5,2,true,Restore: Degraded Land,
US-EIN-521257057-US-EIN-521257057,result_6,2,true,Livable Neighborhoods: Inclusive Public Spaces,
US-EIN-521257057-US-EIN-521257057,result_7,2,true,Livable Neighborhoods: Climate-Resilient Housing,
US-EIN-521257057-US-EIN-521257057,result_8,2,true,Climate Resilience: Hybrid Green Infrastructure,
US-EIN-521257057-US-EIN-521257057,result_9,2,true,[Legacy] Heat & Water risk,
US-EIN-521257057-US-EIN-521257057,result_10,2,true,Connective Mobility: Inclusive Public Transport,
US-EIN-521257057-US-EIN-521257057,result_11,2,true,Connective Mobility: Improve Road Safety,
US-EIN-521257057-US-EIN-521257057,result_12,2,true,"Energy Supply: Resilient, Infrastructure",
US-EIN-521257057-US-EIN-521257057,result_13,2,true,[Legacy] Energy Supply: EV Charging,
US-EIN-521257057-US-EIN-521257057,result_14,2,true,Decarbonized Energy Consumption,
US-EIN-521257057-US-EIN-521257057,result_15,2,true,Energy Supply: Zero Carbon Electricity Mix ,
US-EIN-521257057-US-EIN-521257057,result_16,2,true,"[Exploratory] Energy: Land, Minerals & Circularity",
