activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
US-EIN-521257057-US-EIN-521257057,7,,7,,10
US-EIN-521257057-US-EIN-521257057,6,,7,,10
US-EIN-521257057-US-EIN-521257057,13,,7,,10
US-EIN-521257057-US-EIN-521257057,8,,7,,10
US-EIN-521257057-US-EIN-521257057,15,,7,,10
US-EIN-521257057-US-EIN-521257057,16,,7,,10
US-EIN-521257057-US-EIN-521257057,10,,7,,10
US-EIN-521257057-US-EIN-521257057,12,,7,,10
US-EIN-521257057-US-EIN-521257057,11,,7,,10
US-EIN-521257057-US-EIN-521257057,2,,7,,10
