organisation_identifier,budget_kind,budget_status,period_start,period_end,value,currency,value_date,recipient_org_ref,recipient_org_type,recipient_org_name,recipient_country_code,recipient_region_code,recipient_region_vocabulary
44002,total-budget,1,2024-01-01,2024-12-31,28548972557,USD,2024-01-01,,,,,,
44002,total-budget,1,2025-01-01,2025-12-31,29119952008,USD,2025-01-01,,,,,,
44002,total-budget,1,2026-01-01,2026-12-31,29724676698,USD,2026-01-01,,,,,,
44002,total-budget,1,2027-01-01,2027-12-31,30329886544,USD,2027-01-01,,,,,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,21428129,USD,2024-01-01,,,,AF,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,21856692,USD,2025-01-01,,,,AF,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,22293826,USD,2026-01-01,,,,AF,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,22739702,USD,2027-01-01,,,,AF,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,2090793365,USD,2024-01-01,,,,BD,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,2132609232,USD,2025-01-01,,,,BD,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,2175261417,USD,2026-01-01,,,,BD,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,2218766645,USD,2027-01-01,,,,BD,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,571132455,USD,2024-01-01,,,,BF,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,582555104,USD,2025-01-01,,,,BF,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,594206206,USD,2026-01-01,,,,BF,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,606090330,USD,2027-01-01,,,,BF,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,202821535,USD,2024-01-01,,,,BI,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,206877965,USD,2025-01-01,,,,BI,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,211015525,USD,2026-01-01,,,,BI,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,215235835,USD,2027-01-01,,,,BI,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,518436127,USD,2024-01-01,,,,BJ,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,528804849,USD,2025-01-01,,,,BJ,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,539380946,USD,2026-01-01,,,,BJ,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,550168565,USD,2027-01-01,,,,BJ,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,55568537,USD,2024-01-01,,,,BT,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,56679908,USD,2025-01-01,,,,BT,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,57813506,USD,2026-01-01,,,,BT,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,58969776,USD,2027-01-01,,,,BT,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,153762299,USD,2024-01-01,,,,CF,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,156837545,USD,2025-01-01,,,,CF,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,159974295,USD,2026-01-01,,,,CF,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,163173781,USD,2027-01-01,,,,CF,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,94444545,USD,2024-01-01,,,,CG,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,96333436,USD,2025-01-01,,,,CG,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,98260105,USD,2026-01-01,,,,CG,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,100225307,USD,2027-01-01,,,,CG,,
